duration,protocol_type,src_bytes,dst_bytes,count,srv_count,label
942,1,38518,15850,66,43,1
34,2,45540,12112,5,1,0
205,2,10267,24058,8,80,1
80,0,25289,45420,5,34,0
931,0,1062,38890,72,97,1
561,0,29926,481,94,86,0
871,1,6229,47304,31,29,1
387,1,49277,32921,40,7,1
1,0,47915,40385,75,21,0
389,2,4632,1524,7,43,1
565,1,39056,34888,71,57,1
105,1,3596,15048,49,35,1
771,1,44243,35111,91,68,1
821,0,6168,37904,61,76,1
476,0,42563,34008,83,92,1
702,0,7561,60,61,30,1
401,0,8258,9130,6,46,1
729,0,16616,18023,74,54,0
555,2,26734,45080,83,79,0
161,2,6371,13350,79,61,1
201,0,26069,24354,3,29,1
957,1,14369,45186,5,54,0
995,0,12910,28145,57,15,0
269,2,7943,34020,21,11,0
862,2,12199,20587,25,16,1
815,1,15728,41131,2,15,0
270,2,23275,9650,40,11,1
455,0,6738,19933,59,7,1
461,1,15913,20581,13,83,0
726,0,35240,23393,74,2,1
251,0,19123,23051,81,15,1
701,1,48447,26212,11,29,1
295,0,34529,49082,86,22,1
724,2,10167,4090,11,91,0
719,0,10554,6960,12,4,0
748,1,17260,35772,24,83,1
337,1,47045,21520,44,64,1
878,1,3812,49481,18,29,0
52,0,28024,36408,54,20,1
791,1,27285,28470,99,83,0
921,1,26900,20491,44,69,1
216,0,1605,1341,7,21,1
763,2,5622,44623,92,81,0
187,0,6767,24791,52,71,0
379,1,27139,338,54,31,0
492,1,11613,5895,31,32,0
40,0,10589,12254,50,15,1
156,2,13918,11344,43,75,0
14,1,20119,1750,81,37,1
812,1,27446,2421,69,97,0
64,1,13046,39887,17,13,0
856,0,24818,5319,82,35,1
838,1,35358,15896,21,96,0
520,2,4324,11918,36,22,0
343,1,10787,25064,95,65,0
128,1,9111,46617,55,84,0
647,2,38110,27935,58,1,1
471,1,16389,37641,2,90,1
62,0,41427,29711,27,72,0
138,0,14043,4806,73,64,0
498,0,28746,41360,34,74,0
592,2,22350,12182,60,66,1
391,1,41605,22297,92,51,1
674,0,117,19541,53,61,1
418,2,46685,28921,62,22,1
288,1,18935,16774,78,25,0
378,2,47077,44813,96,67,0
772,0,13234,37198,6,81,0
489,0,38328,8820,75,54,1
230,0,846,24070,48,5,0
40,2,10954,4232,93,34,1
27,2,13703,11122,84,21,1
134,0,48153,15023,30,42,0
200,2,46514,8007,57,14,0
839,0,22700,17905,60,85,0
779,0,32043,41786,23,59,1
929,1,6469,29398,19,11,1
32,2,30105,34268,36,48,0
47,0,42101,6737,3,41,0
502,0,26386,36062,91,37,1
406,2,49376,25510,19,81,0
573,1,45587,19426,59,44,1
727,1,36976,37265,23,34,1
804,0,39051,17850,49,29,0
98,2,2048,614,48,87,0
683,1,39001,21776,50,29,0
871,2,12941,24077,95,77,0
725,2,45375,9374,35,5,1
986,0,42533,35435,97,66,1
546,1,1828,30907,99,79,1
960,0,1917,13409,65,6,0
738,1,20618,16514,78,51,1
612,1,32254,29866,33,13,0
942,1,39756,2983,35,72,0
461,1,47362,31705,5,14,0
642,1,20128,20662,38,20,0
768,2,45745,23510,41,34,0
4,0,9,12651,57,65,0
217,2,16644,40998,11,90,1
502,1,22422,28535,2,1,0
766,0,9865,6640,17,34,1
397,1,2219,44547,39,81,1
870,0,39809,15317,20,77,0
794,2,5287,7564,14,19,0
392,0,34387,27345,96,81,0
206,0,8512,48288,98,9,1
14,0,1342,28687,25,24,0
857,0,43336,13737,7,65,1
553,0,19216,9323,99,24,0
891,1,27534,15229,93,53,0
460,0,14231,44481,86,32,1
690,0,32293,8502,41,35,1
574,2,26614,545,43,94,0
863,0,36258,37114,13,13,1
742,2,28253,29430,77,64,1
240,1,42078,9996,1,79,1
563,0,40752,27788,36,53,1
95,2,17988,29969,68,51,1
899,2,31037,48543,37,2,0
733,1,12219,13919,40,98,0
484,0,235,3810,61,40,1
406,0,42929,30586,59,5,0
230,2,1908,39974,13,24,0
748,0,8567,41773,88,12,1
654,2,36298,16371,83,97,0
170,0,5256,45084,1,7,1
540,2,19019,29629,69,20,1
35,0,8162,8436,16,97,0
524,1,5415,12984,88,67,1
159,0,36159,33039,27,24,1
838,0,43925,19895,65,78,1
698,1,5951,18155,34,67,1
242,0,21852,10616,4,44,1
85,1,8007,37129,64,59,0
795,0,41832,39837,39,11,0
577,2,30523,24574,75,31,1
681,2,23325,3430,55,95,1
556,0,21204,12676,35,91,0
573,0,15524,10816,44,12,1
952,0,19282,32733,22,30,0
645,2,23930,20144,46,77,1
795,0,77,2050,30,19,1
27,2,40345,44460,10,17,1
619,1,20611,33933,9,92,1
555,2,16984,24951,66,59,1
339,2,14060,32413,13,62,1
797,1,17449,34801,79,5,1
957,2,18520,32913,73,31,0
330,0,43303,47037,92,92,0
639,0,9510,40600,9,42,0
505,2,29287,25280,75,1,1
347,0,28173,24557,93,59,1
472,2,39711,47054,0,22,1
230,0,11954,35400,4,82,1
189,0,7804,4494,19,30,1
224,2,6565,15152,7,4,1
384,0,5984,23895,42,82,1
376,2,21526,9155,75,33,0
282,0,37438,31883,0,9,1
957,0,18574,43194,56,88,0
632,1,9184,43001,63,1,0
627,1,19096,1828,83,10,1
972,2,2192,45028,27,49,1
744,1,34016,41898,36,30,0
258,2,11246,32123,46,55,0
358,1,45558,37573,75,78,1
709,0,18381,806,36,72,1
455,2,36455,40970,48,86,0
410,2,26727,29757,43,82,1
648,0,4018,34636,55,8,1
317,2,11302,14561,27,98,1
676,2,1970,48280,78,20,0
224,1,41157,24262,5,72,0
818,2,27202,14899,60,27,0
233,0,31110,48988,19,61,1
683,1,17586,15934,77,6,1
663,1,24519,38197,1,79,0
974,0,31273,41844,72,15,0
826,0,21951,36332,36,96,0
373,1,15374,34157,19,3,1
671,2,5788,11593,25,3,0
607,1,5408,40042,28,39,0
471,0,25053,49976,0,16,1
232,1,9446,17320,34,51,1
691,0,922,27376,69,92,1
112,1,33187,43513,58,51,0
829,2,10789,14199,68,35,1
496,1,32184,15876,32,37,1
441,1,1120,8245,50,49,0
563,0,44028,7214,77,62,1
267,0,32154,726,11,62,0
509,0,17334,46600,19,61,0
806,1,2336,11362,52,98,1
385,2,38141,18297,87,6,1
386,0,2243,30448,42,26,1
112,0,19029,26172,97,91,1
612,1,32265,42874,88,85,1
624,0,37380,7657,49,13,1
951,2,46714,18850,28,70,0
80,2,43872,25425,56,85,0
698,0,46197,26685,38,4,1
112,0,23710,47319,94,54,0
1,1,29486,24578,55,1,1
641,2,6371,28831,42,61,0
219,2,6359,7906,49,90,0
565,0,40631,7287,22,20,0
854,1,35996,33660,43,78,1
996,2,20103,10222,37,20,0
735,2,14382,37443,83,9,1
224,1,18755,34701,22,86,0
384,1,35659,17764,44,57,0
402,2,3756,44641,51,38,0
637,2,20609,17674,79,4,0
129,1,48538,18024,49,64,0
52,2,16478,46007,7,12,1
683,0,35442,23874,84,84,1
729,0,39666,43642,0,89,0
671,1,10147,32284,7,84,0
709,1,33561,17602,28,52,0
415,1,34884,37784,95,81,0
246,0,5779,23265,4,44,1
835,2,12298,25931,85,31,0
438,0,14153,28841,46,35,1
202,2,43879,29192,33,80,0
183,0,10789,46542,64,98,1
122,2,44165,42520,54,59,0
400,0,12999,15585,89,10,0
766,1,814,25559,42,62,1
293,0,49497,40059,73,20,0
279,2,10541,33742,29,51,0
836,0,24938,4133,81,54,0
883,0,2443,14663,16,25,1
609,0,10457,21754,25,67,0
197,1,10380,3972,7,33,0
981,0,7783,5295,46,51,1
906,1,44241,46681,75,81,1
510,1,17368,41873,90,98,1
751,0,15328,29125,71,92,0
143,0,26215,40996,88,51,0
608,0,33595,9903,45,28,0
200,2,27306,3020,67,37,1
123,0,19915,41755,32,41,0
186,1,39915,20420,0,20,0
325,0,37219,21452,18,41,1
463,2,15343,45648,30,12,1
348,0,46403,38001,79,63,1
770,2,38727,9516,13,16,1
659,2,126,47327,52,8,1
763,0,27632,49469,47,40,0
954,1,41563,2396,68,0,1
931,2,44409,18546,89,1,0
402,0,20530,19129,61,59,0
345,0,39964,1591,91,47,1
962,1,44327,11303,65,28,1
510,2,3368,30561,63,96,1
146,2,3797,6183,69,9,0
147,0,47882,26572,62,57,1
863,0,13718,34080,72,59,1
710,1,34560,20695,32,20,1
819,1,11053,7314,40,27,1
488,2,22116,19623,88,74,1
928,2,36244,2139,47,33,0
935,0,36185,47456,12,7,0
639,2,1645,31290,72,58,0
550,1,47523,18088,76,85,1
337,1,19256,39692,30,71,1
871,0,35840,33130,74,48,1
640,1,34622,32088,67,78,0
778,1,37430,26292,97,16,1
987,1,39282,46249,3,59,1
952,1,2708,20670,18,86,1
472,0,11694,3738,69,87,0
945,0,9524,2469,97,44,1
150,2,31880,22534,81,82,0
414,1,39224,48874,12,68,1
989,2,36980,49708,22,31,0
297,0,32409,9017,82,43,0
610,0,13224,2808,74,64,0
262,0,40738,49138,0,86,1
763,0,25150,47638,87,7,1
143,0,49688,12713,53,76,0
345,0,34393,40329,70,71,0
623,0,43082,2719,88,86,1
571,1,7973,22890,84,42,1
880,2,8577,11700,14,0,0
1,0,8070,36509,64,50,1
896,1,8666,42534,75,23,1
303,1,36368,36766,70,98,1
253,2,6783,26705,14,23,1
651,0,45994,18787,20,16,0
452,2,41914,48845,18,4,1
36,0,4971,26588,59,19,1
159,1,13490,26123,92,20,0
8,1,45719,33062,88,57,0
232,1,45080,10177,32,30,1
98,1,1990,21727,48,99,1
658,2,5299,30220,95,10,1
815,0,45765,9882,34,51,1
207,0,19956,1136,43,14,0
130,2,22359,34832,89,82,0
403,0,46240,31966,10,6,0
151,1,37148,7009,98,27,1
53,0,28734,12987,71,50,1
119,1,4757,37311,77,57,1
672,2,19097,31575,73,4,1
919,0,10395,1007,65,4,0
627,2,16241,5445,45,93,0
586,0,38356,10706,8,95,1
624,1,27696,47517,2,7,0
967,2,4944,44486,84,63,1
419,0,46163,29257,25,9,1
421,1,19816,21736,71,37,0
103,2,49840,42207,47,95,1
851,2,37011,13281,65,91,1
253,0,24917,1435,69,80,0
226,0,31195,33339,27,94,1
111,0,21566,35150,92,7,1
509,1,9916,25821,25,24,0
472,0,20806,26660,24,72,1
98,2,9984,5084,11,65,0
152,2,1759,16661,4,78,1
860,0,41949,13507,97,49,0
913,0,26838,7059,47,66,0
895,2,2482,18271,36,48,0
877,1,24442,45539,78,35,1
337,0,33719,7491,43,67,0
705,0,27965,47295,99,77,0
821,2,2079,14859,14,40,0
162,0,2717,8073,42,88,0
719,1,27952,9077,47,61,0
956,2,20908,20953,86,9,1
680,0,42460,11383,69,20,1
995,2,24861,49146,45,35,1
160,0,7311,2353,42,11,1
579,0,28071,23821,20,90,1
800,0,23570,37567,22,1,1
397,1,18449,49838,79,12,1
276,1,33536,24860,46,52,0
815,2,38258,21195,14,31,1
915,0,48302,11939,24,94,0
503,0,28865,25338,35,15,0
895,1,6645,21730,74,31,1
391,0,38000,21427,50,31,0
134,1,26737,35196,14,97,0
194,0,11485,27083,67,10,0
400,2,38565,21510,20,9,0
639,0,25522,44064,12,14,1
32,0,12342,7813,85,16,1
687,1,40806,31598,18,39,1
459,0,48770,47182,33,17,1
954,0,13087,27570,77,54,1
882,1,37641,27082,67,72,1
469,2,34249,29241,51,24,1
374,2,10093,30678,26,58,1
21,1,47190,44569,28,77,1
749,1,16438,11745,27,88,1
669,1,40411,26029,34,21,0
37,1,26399,13025,7,29,1
229,1,19846,36124,15,83,0
364,2,15708,14288,35,84,0
562,2,44039,23650,29,43,0
437,1,49984,6540,17,31,0
775,0,45368,32232,1,50,1
282,1,10998,16422,48,45,0
26,0,47063,3342,76,20,1
225,1,30678,41846,3,98,1
276,1,10682,35612,89,31,0
797,2,49148,10396,88,93,1
608,0,8519,17482,93,38,0
283,0,31480,23411,74,11,0
878,2,19694,46766,6,46,1
959,2,3300,13261,94,17,1
480,2,6722,3093,73,20,0
452,2,39986,11722,38,12,1
828,0,24160,22042,12,20,1
815,0,20059,44413,30,7,1
658,1,35822,47851,70,45,0
515,1,13575,28087,62,6,0
546,2,7970,32347,55,22,1
191,2,34911,33756,41,95,1
48,2,21591,39214,60,74,1
511,1,31821,16335,41,85,1
16,1,9503,28602,55,21,1
171,1,47917,48901,35,88,0
219,1,18922,34450,83,21,1
157,1,12175,32196,67,91,0
476,1,41124,5626,6,28,1
45,1,21389,7424,53,12,0
372,2,47838,12857,0,81,1
517,2,822,44923,43,1,0
98,2,17327,19982,44,28,1
891,2,47057,11425,46,84,0
744,1,6150,1980,12,78,0
36,0,4425,48290,21,51,0
279,1,16032,26431,20,26,0
348,0,2198,19440,85,49,0
496,2,20079,41752,91,94,0
301,1,36220,17175,8,78,1
180,2,41874,48651,25,22,0
606,1,13859,26385,8,87,1
98,2,31419,38158,14,43,1
699,0,8705,23019,9,76,1
992,0,42880,18639,87,21,1
115,0,23236,19994,41,42,1
190,1,22419,34375,71,36,0
252,0,19978,21563,23,60,0
980,1,37609,39341,79,96,0
927,0,15358,5776,48,55,1
982,0,34177,36444,25,2,0
160,1,29378,3380,90,62,0
255,1,37334,8711,36,18,0
322,0,11382,8782,67,22,0
127,1,14596,17434,49,28,0
17,0,33572,46765,23,29,1
792,1,13221,20017,18,38,0
734,2,1279,30707,99,24,1
565,2,45960,39110,59,7,1
569,2,7083,17343,38,57,1
