Sample_ID,Plant_Type,Disease_Class,Leaf_Color_Index,Spot_Count,Spot_Size_mm,Temperature_C,Humidity_%,Soil_pH,Nitrogen,Phosphorus,Potassium,Disease_Severity,Target_Label
L0022,Corn,Healthy,0.915,0,0,20.8,78,7.5,158,47,178,Healthy,0
L0023,Potato,Healthy,0.763,0,0,24.8,87,7,162,86,155,Healthy,0
L0024,Tomato,Healthy,0.461,0,0,19.1,46,6.9,108,95,96,Healthy,0
L0025,Tomato,Healthy,0.346,0,0,28.7,59,5.7,58,62,58,Healthy,0
L0026,Grape,Healthy,0.455,0,0,29.4,58,6.7,196,93,161,Healthy,0
L0027,Potato,Healthy,0.81,0,0,31.7,57,5.7,160,65,148,Healthy,0
L0028,Corn,Healthy,0.604,0,0,30.4,88,7,75,27,143,Healthy,0
L0029,Apple,Healthy,0.82,0,0,19.9,57,5.9,164,37,148,Healthy,0
L0030,Potato,Healthy,0.481,0,0,22.2,49,6.5,190,32,52,Healthy,0
L0031,Grape,Healthy,0.843,0,0,34.5,93,7.5,92,72,164,Healthy,0
L0032,Corn,Healthy,0.439,0,0,24.8,48,5.9,50,69,107,Healthy,0
L0033,Corn,Healthy,0.485,0,0,29.8,91,7.8,192,104,164,Healthy,0
L0034,Potato,Healthy,0.423,0,0,21.7,48,6.8,188,27,120,Healthy,0
L0035,Tomato,Healthy,0.333,0,0,26.1,78,5.9,180,30,87,Healthy,0
L0036,Tomato,Healthy,0.687,0,0,29.5,60,6.4,195,51,188,Healthy,0
L0037,Grape,Healthy,0.326,0,0,19.4,87,6.8,183,60,106,Healthy,0
L0038,Potato,Healthy,0.735,0,0,23.3,61,6.4,126,78,120,Healthy,0
L0039,Tomato,Healthy,0.306,0,0,28.6,81,7.8,68,88,94,Healthy,0
L0040,Grape,Healthy,0.472,0,0,33.9,49,7.5,144,56,80,Healthy,0
L0041,Corn,Healthy,0.842,0,0,30,84,7.8,185,21,210,Healthy,0
L0042,Grape,Healthy,0.495,0,0,29.3,53,6.1,77,115,181,Healthy,0
L0043,Potato,Healthy,0.477,0,0,28.3,90,6.3,117,84,165,Healthy,0
L0044,Apple,Healthy,0.888,0,0,32.4,50,7,120,25,40,Healthy,0
L0045,Apple,Healthy,0.801,0,0,28.8,61,5.9,163,90,220,Healthy,0
L0046,Corn,Healthy,0.665,0,0,19.9,89,7.6,189,24,134,Healthy,0
L0047,Grape,Healthy,0.659,0,0,25.3,47,6.2,60,65,93,Healthy,0
L0048,Potato,Healthy,0.734,0,0,24,80,7.5,154,99,79,Healthy,0
L0049,Potato,Healthy,0.862,0,0,34.6,56,7.5,56,42,125,Healthy,0
L0050,Corn,Healthy,0.821,0,0,32.7,60,6.1,77,68,49,Healthy,0
L0051,Corn,Healthy,0.445,0,0,31.9,74,6.3,108,48,46,Healthy,0
L0052,Potato,Healthy,0.559,0,0,22.7,49,7.7,121,64,204,Healthy,0
L0053,Grape,Healthy,0.56,0,0,34.7,79,6.3,57,34,106,Healthy,0
L0054,Potato,Healthy,0.677,0,0,34.7,47,5.7,161,64,120,Healthy,0
L0055,Corn,Healthy,0.694,0,0,26.7,69,7.6,98,52,51,Healthy,0
L0056,Corn,Healthy,0.301,0,0,33.7,79,7.1,100,66,150,Healthy,0
L0057,Tomato,Healthy,0.917,0,0,33.7,84,6.2,81,112,116,Healthy,0
L0058,Grape,Healthy,0.501,0,0,24.9,70,7.1,191,36,89,Healthy,0
L0059,Corn,Healthy,0.732,0,0,24.4,92,7.6,195,58,143,Healthy,0
L0060,Grape,Healthy,0.842,0,0,23.2,58,6.5,198,97,207,Healthy,0
L0061,Apple,Healthy,0.602,0,0,25.5,58,6.7,93,104,61,Healthy,0
L0062,Apple,Healthy,0.635,0,0,28.8,66,5.7,110,106,119,Healthy,0
L0063,Potato,Healthy,0.824,0,0,20.5,47,6.1,171,98,58,Healthy,0
L0064,Corn,Healthy,0.569,0,0,28.7,57,7.2,148,83,142,Healthy,0
L0065,Potato,Healthy,0.396,0,0,29.7,93,7.5,77,119,148,Healthy,0
L0066,Potato,Healthy,0.414,0,0,34.3,78,6.6,192,51,71,Healthy,0
L0067,Corn,Healthy,0.387,0,0,25.9,78,7.8,131,116,153,Healthy,0
L0068,Grape,Healthy,0.83,0,0,33.2,72,7.4,190,77,80,Healthy,0
L0069,Corn,Healthy,0.593,0,0,30.8,85,6.1,183,82,200,Healthy,0
L0070,Potato,Healthy,0.478,0,0,19.3,63,6,135,60,178,Healthy,0
L0071,Tomato,Healthy,0.39,0,0,21.9,89,5.9,104,28,146,Healthy,0
L0072,Corn,Healthy,0.515,0,0,25.9,48,6,157,69,189,Healthy,0
L0073,Tomato,Healthy,0.857,0,0,31,69,6.6,140,58,139,Healthy,0
L0074,Corn,Healthy,0.65,0,0,30.5,83,7.6,174,48,109,Healthy,0
L0075,Corn,Healthy,0.616,0,0,24.6,87,7.1,153,112,82,Healthy,0
L0076,Corn,Healthy,0.898,0,0,34.7,79,5.6,150,95,184,Healthy,0
L0077,Tomato,Healthy,0.355,0,0,25.3,74,5.9,116,68,123,Healthy,0
L0078,Potato,Healthy,0.596,0,0,23.7,69,6.1,157,52,60,Healthy,0
L0079,Corn,Healthy,0.313,0,0,27.2,67,6,67,119,206,Healthy,0
L0080,Tomato,Healthy,0.79,0,0,34.1,57,7.4,89,50,72,Healthy,0
L0081,Corn,Healthy,0.735,0,0,27.6,58,6.6,115,118,134,Healthy,0
L0082,Potato,Healthy,0.694,0,0,34.4,90,5.8,91,59,67,Healthy,0
L0083,Grape,Healthy,0.317,0,0,23.3,88,7.6,146,70,90,Healthy,0
L0084,Tomato,Healthy,0.685,0,0,32.1,60,5.7,127,107,193,Healthy,0
L0085,Tomato,Healthy,0.818,0,0,27.6,47,6.3,159,104,134,Healthy,0
L0086,Tomato,Healthy,0.629,0,0,23.8,71,7.4,77,75,132,Healthy,0
L0087,Corn,Healthy,0.76,0,0,25.4,91,6.7,119,98,177,Healthy,0
L0088,Corn,Healthy,0.602,0,0,32,82,6.1,112,31,111,Healthy,0
L0089,Corn,Healthy,0.459,0,0,25.9,84,7,136,23,166,Healthy,0
L0090,Apple,Healthy,0.418,0,0,21.6,61,6.3,120,91,42,Healthy,0
L0091,Grape,Healthy,0.916,0,0,19.5,91,6.4,192,117,101,Healthy,0
L0092,Corn,Healthy,0.72,0,0,26.3,95,5.5,125,48,143,Healthy,0
L0093,Potato,Healthy,0.499,0,0,27.9,75,6.8,138,74,180,Healthy,0
L0094,Apple,Healthy,0.529,0,0,25.7,64,6.1,80,112,89,Healthy,0
L0095,Apple,Healthy,0.378,0,0,27.1,93,7.1,99,47,163,Healthy,0
L0096,Apple,Healthy,0.771,0,0,34.6,78,6.9,75,44,115,Healthy,0
L0097,Potato,Healthy,0.535,0,0,23.1,90,6.7,120,25,53,Healthy,0
L0098,Grape,Healthy,0.49,0,0,34,85,7.5,175,33,43,Healthy,0
L0099,Grape,Healthy,0.485,0,0,26.1,66,5.9,63,52,162,Healthy,0
L0100,Tomato,Healthy,0.834,0,0,24.8,49,6.8,63,39,78,Healthy,0
L0101,Tomato,Early Blight,0.946,24,1.39,31,83,6.9,107,119,173,Severe,1
L0102,Corn,Early Blight,0.493,33,4.91,25.3,81,6.9,75,117,93,Moderate,1
L0103,Apple,Early Blight,0.729,18,1.68,21,49,5.9,154,77,216,Severe,1
L0104,Apple,Early Blight,0.321,35,2.66,22.8,74,5.7,109,53,200,Severe,1
L0105,Potato,Early Blight,0.576,47,4.58,29,62,7.4,68,27,82,Severe,1
L0106,Grape,Early Blight,0.899,43,3.79,26,64,7.1,119,84,178,Moderate,1
L0107,Tomato,Early Blight,0.689,33,7.17,30.5,83,6.1,73,49,212,Moderate,1
L0108,Tomato,Early Blight,0.95,42,5.54,22.6,47,7.3,94,80,172,Severe,1
L0109,Apple,Early Blight,0.418,33,4.89,28.8,76,7.7,170,64,144,Severe,1
L0110,Tomato,Early Blight,0.858,25,2.97,29.8,63,7,152,117,180,Moderate,1
L0111,Tomato,Early Blight,0.504,34,2.92,34.5,70,7.5,50,104,178,Mild,1
L0112,Tomato,Early Blight,0.422,31,3.21,30.9,85,6.5,63,46,108,Moderate,1
L0113,Apple,Early Blight,0.585,13,5.74,20.1,85,6.9,111,110,80,Severe,1
L0114,Tomato,Early Blight,0.659,40,1.2,34.9,52,6.6,80,102,79,Moderate,1
L0115,Apple,Early Blight,0.631,50,2.55,32.2,75,6.1,191,38,138,Moderate,1
L0116,Grape,Early Blight,0.785,43,1.52,19.2,94,7.3,156,63,169,Mild,1
L0117,Apple,Early Blight,0.772,5,6.78,27.9,87,6.6,88,77,177,Moderate,1
L0118,Apple,Early Blight,0.659,27,4.58,25.7,65,7.5,111,93,138,Moderate,1
L0119,Tomato,Early Blight,0.507,31,4.05,33.5,69,6.4,88,83,49,Mild,1
L0120,Grape,Early Blight,0.516,37,1.25,32.4,51,6.7,166,21,76,Mild,1
L0121,Potato,Early Blight,0.349,46,6.36,22.5,84,7.1,70,62,212,Moderate,1
L0122,Apple,Early Blight,0.707,29,7.16,26.3,79,5.6,67,50,201,Severe,1
L0123,Potato,Early Blight,0.785,23,3.75,19.7,85,7.1,75,76,82,Severe,1
L0124,Tomato,Early Blight,0.33,24,6.47,23,68,6.5,112,87,145,Severe,1
L0125,Potato,Early Blight,0.41,48,1.09,32.8,84,7.1,177,94,76,Severe,1
L0126,Apple,Early Blight,0.599,34,5.5,33.3,74,7.6,189,40,58,Mild,1
L0127,Grape,Early Blight,0.494,27,7.72,29.7,74,7.4,100,69,163,Moderate,1
L0128,Corn,Early Blight,0.672,20,4.81,34.9,63,5.6,151,55,42,Mild,1
L0129,Tomato,Early Blight,0.892,48,6.09,32.2,63,7.3,108,97,130,Severe,1
L0130,Potato,Early Blight,0.704,45,5.58,30.3,87,7.1,85,100,64,Mild,1
L0131,Tomato,Early Blight,0.501,46,3.81,27.9,91,5.8,125,61,146,Severe,1
L0132,Potato,Early Blight,0.811,17,7.07,24.2,77,7.6,92,52,163,Mild,1
L0133,Tomato,Early Blight,0.604,26,1.06,30.8,59,7.5,151,91,133,Moderate,1
L0134,Tomato,Early Blight,0.472,30,1.43,24.3,92,7,199,68,203,Mild,1
L0135,Potato,Early Blight,0.606,11,5.15,34,65,7.6,106,102,56,Moderate,1
L0136,Apple,Early Blight,0.722,34,1.38,18.8,47,6.2,176,34,64,Severe,1
L0137,Potato,Early Blight,0.553,39,3.28,34.1,89,7.7,157,95,79,Mild,1
L0138,Tomato,Early Blight,0.842,46,5.12,34,62,5.6,144,47,153,Moderate,1
L0139,Apple,Early Blight,0.365,20,5.64,27.3,86,6.3,151,55,88,Moderate,1
L0140,Tomato,Early Blight,0.731,34,5.31,28.2,46,5.6,135,51,72,Mild,1
L0141,Tomato,Early Blight,0.839,18,4.66,28,59,6.3,87,120,192,Severe,1
L0142,Potato,Early Blight,0.942,22,4.55,31.6,52,7,56,36,43,Mild,1
L0143,Grape,Early Blight,0.51,20,1.81,18.9,92,6.5,79,115,56,Moderate,1
L0144,Apple,Early Blight,0.634,33,1.32,26.6,84,5.6,183,58,157,Moderate,1
L0145,Tomato,Early Blight,0.949,6,6.85,25.2,51,6.6,163,29,60,Severe,1
L0146,Potato,Early Blight,0.343,43,2.56,28.8,80,7.1,147,96,175,Moderate,1
L0147,Grape,Early Blight,0.694,34,1.24,29.9,86,7,191,112,95,Moderate,1
L0148,Potato,Early Blight,0.569,33,6.71,24.8,91,5.7,159,60,210,Moderate,1
L0149,Potato,Early Blight,0.746,28,4.06,19.6,50,5.7,74,115,135,Moderate,1
L0150,Tomato,Early Blight,0.681,40,4.71,23.6,52,6.4,158,112,53,Mild,1
L0151,Apple,Early Blight,0.529,43,4.83,21.6,87,6.6,77,64,182,Moderate,1
L0152,Apple,Early Blight,0.673,12,6.55,32.4,94,7.4,192,23,195,Moderate,1
L0153,Apple,Early Blight,0.319,49,2.55,31,66,6.3,96,38,184,Severe,1
L0154,Tomato,Early Blight,0.392,30,5.25,18.5,92,6.7,146,73,156,Severe,1
L0155,Apple,Early Blight,0.503,15,2.93,34,83,5.7,63,39,80,Moderate,1
L0156,Tomato,Early Blight,0.477,8,5.46,26.3,73,6.5,105,116,171,Severe,1
L0157,Corn,Early Blight,0.372,27,5.59,28.1,78,7,61,48,141,Mild,1
L0158,Tomato,Early Blight,0.433,8,7.59,31,93,6.1,133,35,41,Severe,1
L0159,Potato,Early Blight,0.384,32,4.49,21.9,80,7.4,140,29,141,Moderate,1
L0160,Corn,Early Blight,0.312,7,7.41,32.7,81,6.5,153,110,203,Severe,1
L0161,Tomato,Early Blight,0.563,23,7.75,20.9,84,6.6,142,31,151,Moderate,1
L0162,Corn,Early Blight,0.683,20,4.43,24.7,64,7.2,106,62,83,Mild,1
L0163,Tomato,Early Blight,0.645,37,1.95,31.2,67,7.2,87,50,66,Mild,1
L0164,Potato,Early Blight,0.413,21,1.65,30.9,49,5.9,176,79,184,Mild,1
L0165,Grape,Early Blight,0.718,33,7.9,23.5,85,6.2,162,28,160,Severe,1
L0166,Apple,Early Blight,0.818,45,4.94,24,49,6.2,165,24,54,Moderate,1
L0167,Tomato,Early Blight,0.719,23,7.83,19.5,83,6.7,168,94,181,Moderate,1
L0168,Corn,Early Blight,0.891,7,4.79,21.2,83,6.6,88,27,155,Severe,1
L0169,Tomato,Early Blight,0.628,26,1.79,22.2,73,7.8,184,86,196,Mild,1
L0170,Apple,Early Blight,0.897,28,3.41,31.2,88,6.9,135,28,124,Mild,1
L0171,Corn,Early Blight,0.485,40,5.93,29.2,83,7.5,135,30,189,Mild,1
L0172,Apple,Early Blight,0.502,14,5.42,29.3,53,6.9,71,59,183,Severe,1
L0173,Apple,Early Blight,0.829,46,5.53,32.1,92,7.8,184,31,205,Moderate,1
L0174,Grape,Early Blight,0.535,32,3.22,21.1,58,6.3,174,44,97,Severe,1
L0175,Tomato,Early Blight,0.492,14,6.41,26.6,79,7.4,184,24,209,Mild,1
L0176,Potato,Early Blight,0.688,44,1.66,21.1,89,7.3,92,112,152,Moderate,1
L0177,Apple,Early Blight,0.74,31,2.28,25.6,63,7.2,164,49,176,Mild,1
L0178,Corn,Early Blight,0.888,24,1.96,29.5,81,7.8,168,118,112,Mild,1
L0179,Grape,Early Blight,0.572,37,1.72,21.4,83,5.8,114,26,204,Moderate,1
L0180,Grape,Early Blight,0.907,28,5.84,26.8,52,6.2,91,54,155,Moderate,1
L0181,Corn,Early Blight,0.36,14,7.33,31.9,67,7.6,156,26,141,Severe,1
L0182,Potato,Early Blight,0.551,28,1.11,21.8,65,7.6,135,38,75,Severe,1
L0183,Corn,Early Blight,0.752,23,1.54,30,73,6.9,70,22,105,Mild,1
L0184,Grape,Early Blight,0.911,14,5.07,25.2,94,6.2,127,35,52,Mild,1
L0185,Grape,Early Blight,0.597,31,1.33,33.4,83,6.7,181,93,101,Mild,1
L0186,Apple,Early Blight,0.579,14,5.11,22.1,71,5.9,71,87,132,Severe,1
L0187,Grape,Early Blight,0.63,38,7.91,27.4,69,7.5,61,101,139,Mild,1
L0188,Tomato,Early Blight,0.532,21,1.01,22.1,87,6.9,198,114,125,Moderate,1
L0189,Apple,Early Blight,0.655,7,6.6,21,94,7.1,172,100,86,Mild,1
L0190,Corn,Early Blight,0.324,9,2.01,31.4,47,6.2,129,85,141,Mild,1
L0191,Apple,Early Blight,0.324,35,5.35,22.9,94,5.6,134,54,71,Severe,1
L0192,Corn,Early Blight,0.783,32,7.21,24.6,56,6.6,177,67,172,Moderate,1
L0193,Corn,Early Blight,0.351,10,5.02,32,79,6.2,76,30,123,Moderate,1
L0194,Apple,Early Blight,0.59,23,5.88,20.8,73,6.3,60,113,130,Severe,1
L0195,Apple,Early Blight,0.716,32,6.44,19,87,7,143,85,213,Severe,1
L0196,Potato,Early Blight,0.852,6,5.59,25.4,53,5.7,143,66,138,Mild,1
L0197,Grape,Early Blight,0.4,7,3.87,24.3,73,7.3,196,37,175,Severe,1
L0198,Apple,Early Blight,0.722,30,2.37,19.9,92,5.9,182,69,183,Moderate,1
L0199,Apple,Early Blight,0.758,21,2.11,28.4,89,7.6,175,45,71,Mild,1
L0200,Corn,Early Blight,0.412,9,5.85,35,88,7.7,131,105,128,Mild,1
L0201,Grape,Late Blight,0.652,9,7.18,32.5,90,7.1,94,66,170,Severe,2
L0202,Potato,Late Blight,0.815,12,2.28,26.4,68,6.8,144,79,181,Mild,2
L0203,Tomato,Late Blight,0.343,44,3.49,30.2,75,6.7,154,93,58,Mild,2
L0204,Tomato,Late Blight,0.592,25,5.6,23.9,94,6.8,200,43,73,Mild,2
L0205,Tomato,Late Blight,0.84,37,4.39,23.2,55,6.2,107,64,172,Moderate,2
L0206,Apple,Late Blight,0.428,10,7.67,22.7,85,6.2,186,31,168,Moderate,2
L0207,Grape,Late Blight,0.912,15,1.66,29.2,91,7.6,136,92,50,Severe,2
L0208,Tomato,Late Blight,0.917,10,6.28,22.5,58,7.3,156,99,203,Mild,2
L0209,Grape,Late Blight,0.488,36,7.67,26.2,88,6.4,166,29,216,Mild,2
L0210,Corn,Late Blight,0.57,15,3.98,23.8,54,6.2,131,113,128,Mild,2
L0211,Apple,Late Blight,0.635,13,1.3,22.1,52,6.1,113,38,64,Moderate,2
L0212,Corn,Late Blight,0.862,23,3.64,34.4,55,7.4,197,112,120,Mild,2
L0213,Corn,Late Blight,0.947,15,4,32.9,76,5.6,150,84,157,Mild,2
L0214,Grape,Late Blight,0.529,18,0.88,26.4,86,7,123,88,42,Mild,2
L0215,Potato,Late Blight,0.874,32,5.96,31,68,5.6,63,92,183,Mild,2
L0216,Grape,Late Blight,0.488,28,3.4,25.7,80,6.1,80,36,64,Mild,2
L0217,Apple,Late Blight,0.663,28,3.24,20.5,83,6.7,178,25,51,Moderate,2
L0218,Apple,Late Blight,0.823,13,4.39,20.5,77,5.8,131,40,140,Mild,2
L0219,Grape,Late Blight,0.519,24,6.71,27,90,6.8,171,22,134,Severe,2
L0220,Tomato,Late Blight,0.937,48,4.88,31.5,91,7.5,56,96,161,Moderate,2
L0221,Grape,Late Blight,0.675,46,5.91,27.9,55,6.7,147,38,214,Moderate,2
L0222,Grape,Late Blight,0.916,7,1.32,18.3,65,6.5,155,108,92,Mild,2
L0223,Grape,Late Blight,0.898,37,7.05,30.5,48,7.1,182,46,183,Moderate,2
L0224,Corn,Late Blight,0.642,47,2.85,20.9,79,6.3,140,106,214,Moderate,2
L0225,Apple,Late Blight,0.697,49,1.94,22.2,80,6.2,126,118,113,Severe,2
L0226,Corn,Late Blight,0.506,18,3.12,33.9,95,7.2,123,35,186,Severe,2
L0227,Corn,Late Blight,0.882,39,3.46,23.9,94,7.4,124,25,113,Severe,2
L0228,Apple,Late Blight,0.901,10,5.42,30.7,58,6,187,54,183,Severe,2
L0229,Potato,Late Blight,0.371,22,6.06,22.1,48,7,185,48,203,Severe,2
L0230,Tomato,Late Blight,0.569,8,5.88,19.7,94,5.8,190,40,144,Mild,2
L0231,Corn,Late Blight,0.723,35,6.17,22.9,63,7,72,103,186,Severe,2
L0232,Tomato,Late Blight,0.894,39,1.81,33,56,7.6,59,70,166,Mild,2
L0233,Tomato,Late Blight,0.306,23,4.76,19.8,66,6.2,189,87,166,Mild,2
L0234,Corn,Late Blight,0.477,37,6.57,23.6,91,6.6,115,111,87,Mild,2
L0235,Apple,Late Blight,0.669,26,6.18,21,85,7.6,159,85,123,Mild,2
L0236,Tomato,Late Blight,0.42,30,1.55,23.5,60,5.5,148,50,154,Mild,2
L0237,Apple,Late Blight,0.679,26,4.8,22.4,68,7.1,65,105,70,Moderate,2
L0238,Potato,Late Blight,0.564,24,4.27,33.2,90,7.3,80,101,115,Moderate,2
L0239,Potato,Late Blight,0.442,44,1.5,20.6,92,7.8,145,73,219,Moderate,2
L0240,Grape,Late Blight,0.821,35,6.69,31,88,7.2,70,87,154,Severe,2
L0241,Apple,Late Blight,0.351,50,4.73,19,80,7.6,101,93,177,Severe,2
L0242,Apple,Late Blight,0.855,15,3.81,29.6,90,6.8,73,85,154,Mild,2
L0243,Potato,Late Blight,0.634,34,3.93,19,74,7,128,112,45,Mild,2
L0244,Tomato,Late Blight,0.785,21,4.84,18.8,67,7.1,188,27,57,Moderate,2
L0245,Apple,Late Blight,0.566,7,6.27,31,91,7,157,67,137,Moderate,2
L0246,Corn,Late Blight,0.352,29,7.73,32.9,53,7,139,35,85,Moderate,2
L0247,Grape,Late Blight,0.383,30,7.84,32.2,93,5.6,126,79,212,Severe,2
L0248,Corn,Late Blight,0.646,39,6.68,22.2,67,5.9,98,112,68,Severe,2
L0249,Corn,Late Blight,0.7,47,7.52,33.1,60,6,75,96,48,Mild,2
L0250,Tomato,Late Blight,0.459,43,0.83,25.5,79,6,64,37,168,Moderate,2
L0251,Grape,Late Blight,0.507,19,4.98,29.4,65,6,86,104,173,Moderate,2
L0252,Apple,Late Blight,0.479,31,4.68,28.1,92,7.6,159,91,166,Mild,2
L0253,Corn,Late Blight,0.811,27,2.89,25.1,54,6.2,97,116,177,Mild,2
L0254,Potato,Late Blight,0.495,20,5.81,31.7,48,6.8,156,91,175,Moderate,2
L0255,Potato,Late Blight,0.466,29,2.98,19.3,73,7.4,73,88,88,Mild,2
L0256,Corn,Late Blight,0.738,22,5.02,32.9,57,7.4,200,112,211,Mild,2
L0257,Corn,Late Blight,0.436,18,7.3,23.2,45,6,98,114,70,Severe,2
L0258,Potato,Late Blight,0.752,35,5.78,24.7,60,6.8,122,68,159,Severe,2
L0259,Apple,Late Blight,0.5,46,3.2,33,74,5.7,170,117,121,Severe,2
L0260,Apple,Late Blight,0.569,28,4.72,21.8,54,5.5,191,94,188,Mild,2
L0261,Apple,Late Blight,0.399,31,2.97,24.5,60,6.6,136,52,165,Severe,2
L0262,Corn,Late Blight,0.6,46,6,24,53,7.2,175,43,178,Severe,2
L0263,Grape,Late Blight,0.322,8,6.85,34.1,87,5.6,51,72,75,Severe,2
L0264,Tomato,Late Blight,0.76,19,0.57,26.6,68,5.6,173,104,164,Severe,2
L0265,Grape,Late Blight,0.659,5,0.59,27,62,6.7,123,22,168,Mild,2
L0266,Corn,Late Blight,0.824,48,7.32,19.8,51,6.7,111,44,198,Severe,2
L0267,Apple,Late Blight,0.474,21,3.48,24.3,70,6.6,112,109,97,Severe,2
L0268,Tomato,Late Blight,0.725,48,6.94,30.9,50,6.4,146,90,161,Moderate,2
L0269,Tomato,Late Blight,0.757,45,1.12,32.4,86,7.3,194,32,175,Mild,2
L0270,Potato,Late Blight,0.886,19,5.69,27.6,62,5.6,69,107,111,Mild,2
L0271,Tomato,Late Blight,0.417,41,6.88,18.3,58,6.9,151,29,116,Severe,2
L0272,Potato,Late Blight,0.668,41,6.87,29.5,79,6.3,85,108,60,Mild,2
L0273,Tomato,Late Blight,0.363,27,2.24,19.3,83,7.3,151,119,123,Severe,2
L0274,Apple,Late Blight,0.809,45,3.88,21.9,80,7.7,160,43,214,Mild,2
L0275,Corn,Late Blight,0.356,47,5.14,31.6,90,5.7,118,39,137,Severe,2
L0276,Potato,Late Blight,0.781,45,2.88,19.8,45,7.7,163,66,109,Severe,2
L0277,Tomato,Late Blight,0.422,13,3.87,27.4,71,5.7,72,65,181,Mild,2
L0278,Grape,Late Blight,0.81,43,6.98,18.2,71,6.4,71,112,183,Mild,2
L0279,Grape,Late Blight,0.41,41,3.36,20.4,64,6.1,87,28,82,Mild,2
L0280,Corn,Late Blight,0.495,22,6.37,24.1,60,7.2,176,96,197,Moderate,2
L0281,Tomato,Late Blight,0.388,34,0.55,24.7,84,6.4,134,76,125,Mild,2
L0282,Grape,Late Blight,0.388,46,2.9,34.1,57,6.6,95,70,121,Moderate,2
L0283,Corn,Late Blight,0.929,49,6.36,23.5,62,7.4,150,66,69,Moderate,2
L0284,Grape,Late Blight,0.948,17,1.85,31,46,7.7,168,110,93,Severe,2
L0285,Tomato,Late Blight,0.832,23,6.47,25,76,5.8,127,50,104,Moderate,2
L0286,Corn,Late Blight,0.813,14,1.05,34.8,75,6.8,186,84,217,Severe,2
L0287,Tomato,Late Blight,0.814,39,3.2,33.2,79,6.9,71,33,103,Moderate,2
L0288,Apple,Late Blight,0.408,47,5.1,27.6,86,7.1,152,116,124,Severe,2
L0289,Tomato,Late Blight,0.364,11,2.17,30.7,80,6.8,197,48,154,Moderate,2
L0290,Corn,Late Blight,0.802,30,4.91,26.5,67,7.8,173,33,115,Moderate,2
L0291,Tomato,Late Blight,0.84,10,5.98,23.9,66,6.5,102,86,163,Moderate,2
L0292,Tomato,Late Blight,0.585,35,5.73,23.4,64,5.6,79,22,127,Moderate,2
L0293,Potato,Late Blight,0.904,11,6.05,26.8,80,5.9,193,74,158,Severe,2
L0294,Potato,Late Blight,0.421,30,5.43,24.7,92,6.9,100,77,191,Mild,2
L0295,Tomato,Late Blight,0.758,29,2.04,30.8,95,5.6,76,88,87,Moderate,2
L0296,Potato,Late Blight,0.597,25,2.47,32.7,78,7.7,130,96,139,Moderate,2
L0297,Grape,Late Blight,0.374,30,3.14,25.8,56,7.4,126,98,191,Severe,2
L0298,Potato,Late Blight,0.504,48,2.29,20,68,7.1,180,69,147,Mild,2
L0299,Grape,Late Blight,0.549,13,1.89,28.8,89,7.6,94,91,82,Severe,2
L0300,Potato,Late Blight,0.422,23,6.81,28.5,67,7.7,174,37,89,Moderate,2
L0301,Grape,Bacterial Spot,0.724,40,3.57,26.4,90,7.4,175,41,61,Moderate,3
L0302,Potato,Bacterial Spot,0.49,6,2.56,27.1,55,7.3,194,115,166,Severe,3
L0303,Tomato,Bacterial Spot,0.672,37,2.51,27.2,68,6.7,60,117,152,Severe,3
