Sample_ID,Soil_pH,Moisture,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Soil_Texture,Soil_Type,Class
56,7.07,44.4,34,21,200,0.72,2.11,24.1,69.9,197.2,Loamy,Laterite,Wheat
57,8.19,48.0,120,99,282,0.81,0.83,20.4,46.6,94.7,Clay,Red,Wheat
58,5.69,44.1,215,85,318,1.43,2.94,34.7,52.8,164.7,Loamy,Black,Wheat
59,7.27,22.6,41,16,333,0.86,2.84,30.8,80.2,89.8,Sandy,Alluvial,Wheat
60,6.5,41.4,77,16,179,2.09,1.49,34.4,59.0,81.5,Sandy,Red,Wheat
61,5.48,48.8,107,20,177,0.53,2.32,30.1,82.4,125.4,Silty,Laterite,Wheat
62,7.91,32.8,180,64,206,1.38,0.27,37.2,41.0,281.2,Clay,Alluvial,Wheat
63,7.11,24.4,74,80,88,0.6,1.28,31.8,63.2,69.5,Loamy,Alluvial,Wheat
64,7.25,42.2,205,39,185,1.8,1.91,31.2,91.0,183.3,Clay,Red,Wheat
65,7.91,64.6,48,17,134,1.81,1.83,34.5,90.3,187.4,Silty,Alluvial,Wheat
66,7.24,71.6,158,79,302,1.13,1.83,35.8,79.1,235.1,Sandy,Black,Wheat
67,5.73,55.5,177,85,60,2.2,2.05,23.4,37.4,279.3,Silty,Laterite,Wheat
68,7.93,25.9,179,65,301,2.14,1.46,26.2,54.3,90.3,Clay,Alluvial,Wheat
69,6.32,44.7,199,61,331,0.37,0.36,23.0,42.0,284.0,Sandy,Laterite,Wheat
70,6.32,26.3,122,89,305,1.49,2.3,22.1,68.0,329.0,Silty,Laterite,Wheat
71,5.39,73.4,185,40,131,0.89,0.14,26.2,48.5,304.0,Sandy,Laterite,Wheat
72,8.03,53.9,69,73,199,1.27,0.89,34.7,93.8,130.7,Clay,Laterite,Wheat
73,5.61,51.0,64,18,191,1.77,2.58,24.8,82.3,137.5,Sandy,Alluvial,Wheat
74,7.32,65.2,178,94,300,1.94,1.39,27.7,54.9,281.2,Silty,Laterite,Wheat
75,7.99,67.2,208,40,342,1.03,2.58,26.2,54.1,197.2,Silty,Laterite,Wheat
76,8.16,62.5,196,29,303,2.13,0.47,37.3,54.9,89.1,Silty,Black,Wheat
77,6.68,42.4,214,28,259,1.95,2.91,19.5,81.9,136.9,Silty,Black,Wheat
78,7.73,66.1,166,58,212,1.49,2.67,27.8,67.5,239.1,Clay,Alluvial,Wheat
79,8.19,59.8,141,22,101,1.14,2.11,36.1,37.8,290.9,Loamy,Alluvial,Wheat
80,6.2,23.7,165,62,339,1.6,0.62,21.5,71.6,170.9,Clay,Laterite,Wheat
81,7.92,23.6,148,91,180,1.17,2.03,36.0,62.9,143.4,Clay,Black,Wheat
82,6.41,35.7,180,48,267,1.61,1.42,24.0,95.0,307.5,Sandy,Red,Wheat
83,6.22,36.5,105,99,201,0.34,2.51,25.9,35.5,310.9,Sandy,Laterite,Wheat
84,7.67,69.2,88,87,230,0.72,0.65,23.0,80.3,282.6,Clay,Black,Wheat
85,7.89,53.8,109,66,67,1.4,2.22,19.8,52.7,276.8,Clay,Red,Wheat
86,5.42,47.4,123,77,306,2.04,2.51,23.1,84.5,199.7,Loamy,Alluvial,Wheat
87,7.57,43.1,49,28,165,1.93,2.2,37.6,93.0,293.3,Loamy,Black,Wheat
88,7.53,15.8,167,25,282,1.0,2.27,23.2,57.9,245.2,Loamy,Black,Wheat
89,7.16,43.3,188,81,217,2.04,0.74,19.3,84.4,323.7,Loamy,Laterite,Wheat
90,5.37,17.7,39,48,302,0.52,0.78,28.8,58.3,167.6,Silty,Red,Wheat
91,7.83,54.3,155,88,258,2.08,0.91,31.8,48.0,189.0,Clay,Alluvial,Wheat
92,5.32,56.1,169,92,233,0.42,0.9,37.4,91.9,299.0,Sandy,Red,Wheat
93,7.05,50.8,35,16,220,0.76,0.47,29.3,39.1,281.9,Clay,Red,Wheat
94,7.6,29.0,67,86,51,0.83,2.95,37.8,67.4,291.6,Sandy,Black,Wheat
95,5.42,36.5,90,85,215,0.33,0.87,20.5,60.3,93.0,Sandy,Laterite,Wheat
96,6.43,36.7,181,23,281,1.26,2.84,18.9,82.0,311.4,Loamy,Laterite,Wheat
97,7.06,16.9,152,61,268,1.6,1.52,36.2,39.4,83.4,Clay,Black,Wheat
98,5.4,52.5,179,80,216,1.02,1.83,23.9,65.3,184.8,Sandy,Red,Wheat
99,6.38,68.3,135,53,282,1.06,2.22,24.3,53.8,133.9,Clay,Laterite,Wheat
100,5.21,64.9,53,65,99,1.71,1.18,20.6,38.6,337.4,Loamy,Black,Wheat
101,6.31,67.4,138,16,197,1.44,1.12,29.6,47.8,250.5,Clay,Black,Maize
102,6.12,48.4,59,45,343,0.73,1.34,29.2,81.0,240.3,Sandy,Alluvial,Maize
103,5.09,31.4,109,53,229,0.31,2.62,29.3,59.0,101.1,Sandy,Black,Maize
104,7.39,27.9,137,68,224,0.6,1.0,24.5,91.5,232.9,Sandy,Red,Maize
105,5.5,52.1,202,20,189,1.14,1.33,30.1,59.9,122.5,Sandy,Alluvial,Maize
106,6.38,32.0,203,85,299,1.3,0.99,22.4,94.1,75.9,Clay,Alluvial,Maize
107,8.03,61.0,95,47,217,0.53,1.54,26.6,42.8,214.4,Clay,Alluvial,Maize
108,5.23,66.7,40,65,59,1.17,0.33,24.3,60.8,177.3,Silty,Alluvial,Maize
109,5.37,16.3,113,31,285,1.88,2.77,19.8,85.7,130.6,Silty,Black,Maize
110,6.27,33.6,116,38,220,1.78,0.32,30.7,66.8,116.2,Loamy,Alluvial,Maize
111,7.33,64.1,67,40,102,0.58,0.67,30.0,80.6,250.1,Clay,Laterite,Maize
112,6.48,48.8,178,67,339,1.52,2.96,24.5,93.3,151.7,Silty,Black,Maize
113,6.5,52.9,100,85,78,0.97,0.32,27.2,37.3,166.9,Loamy,Black,Maize
114,7.06,73.6,53,88,309,1.03,1.78,37.1,79.3,71.9,Clay,Alluvial,Maize
115,6.94,45.1,45,67,102,1.84,2.53,37.6,40.1,247.4,Sandy,Red,Maize
116,7.26,74.5,164,76,131,0.99,2.76,25.7,81.5,256.9,Sandy,Alluvial,Maize
117,5.21,20.7,203,59,195,0.78,2.57,37.3,71.2,103.6,Sandy,Red,Maize
118,7.93,33.6,197,99,250,0.55,2.16,19.7,68.5,246.6,Loamy,Red,Maize
119,7.14,64.7,219,97,319,0.48,2.04,28.2,36.1,149.6,Clay,Alluvial,Maize
120,8.03,44.2,87,27,129,0.45,2.55,20.0,81.3,302.2,Sandy,Alluvial,Maize
121,7.8,52.1,182,58,128,0.61,2.51,33.4,83.5,108.0,Silty,Black,Maize
122,6.31,55.6,90,66,195,1.73,2.37,22.7,49.4,340.0,Silty,Red,Maize
123,6.18,71.8,142,69,194,1.78,1.56,26.4,44.7,117.9,Clay,Alluvial,Maize
124,5.17,43.8,125,80,102,1.65,1.6,20.5,40.0,106.5,Silty,Red,Maize
125,7.66,20.5,86,67,228,2.07,1.3,25.9,57.4,172.0,Sandy,Alluvial,Maize
126,5.72,34.1,55,93,221,1.8,0.5,23.7,84.8,261.9,Clay,Laterite,Maize
127,6.44,15.3,50,12,181,0.71,0.53,36.8,71.5,182.7,Loamy,Red,Maize
128,5.96,17.9,137,91,284,0.42,2.53,28.0,67.2,243.3,Clay,Red,Maize
129,5.93,15.1,120,40,342,1.09,2.03,19.7,93.5,79.6,Sandy,Laterite,Maize
130,7.79,17.6,129,57,179,1.72,1.14,19.4,49.5,250.6,Sandy,Alluvial,Maize
131,5.43,36.1,116,92,139,1.88,2.09,37.6,63.7,112.9,Clay,Black,Maize
132,7.29,71.6,39,47,153,0.38,0.68,18.8,91.0,209.5,Silty,Alluvial,Maize
133,5.12,53.8,103,55,74,1.95,1.06,20.5,57.1,318.0,Silty,Laterite,Maize
134,6.08,26.2,207,73,238,2.06,1.61,34.0,78.6,82.9,Clay,Alluvial,Maize
135,6.03,19.8,199,47,206,1.15,2.18,21.3,61.6,189.7,Loamy,Laterite,Maize
136,5.88,73.8,44,19,257,0.99,2.42,31.6,92.2,101.4,Silty,Black,Maize
137,5.4,29.2,195,56,235,1.03,1.75,30.1,75.7,335.2,Loamy,Laterite,Maize
138,7.44,49.4,165,56,253,0.9,0.91,37.2,36.6,114.0,Silty,Black,Maize
139,5.84,30.6,144,37,196,1.62,3.0,22.0,43.1,81.5,Clay,Laterite,Maize
140,8.19,63.6,111,95,227,1.65,1.69,23.8,53.0,105.7,Clay,Alluvial,Maize
141,6.63,22.3,81,27,171,1.8,0.18,29.1,57.1,293.1,Clay,Black,Maize
142,5.21,38.9,213,71,319,1.08,1.29,29.5,42.5,151.9,Sandy,Laterite,Maize
143,6.49,46.0,62,80,350,0.65,2.9,26.7,89.6,76.1,Sandy,Red,Maize
144,5.97,24.7,211,38,227,2.1,1.6,23.7,39.7,116.9,Loamy,Red,Maize
145,7.0,51.9,53,74,136,1.42,1.78,21.4,72.5,321.6,Loamy,Black,Maize
146,7.64,16.7,41,92,345,0.8,0.71,29.4,72.1,68.8,Loamy,Alluvial,Maize
147,6.55,63.3,205,61,202,1.16,2.1,21.2,59.9,194.7,Loamy,Red,Maize
148,6.0,58.1,217,54,254,0.55,1.17,29.2,54.1,195.3,Loamy,Laterite,Maize
149,5.79,20.8,104,59,264,0.77,2.61,21.2,54.6,227.5,Loamy,Red,Maize
150,7.44,44.9,161,69,305,1.97,1.54,19.8,58.6,192.6,Clay,Red,Maize
151,6.87,17.9,102,73,290,0.84,0.12,20.1,43.0,136.7,Loamy,Laterite,Cotton
152,6.17,39.0,175,81,149,0.99,0.94,25.7,62.0,219.5,Sandy,Red,Cotton
153,8.12,38.6,116,81,237,1.73,0.68,28.2,65.0,73.1,Clay,Alluvial,Cotton
154,7.57,46.2,68,87,313,0.57,2.8,24.4,58.6,238.8,Loamy,Alluvial,Cotton
155,6.62,45.6,155,100,338,0.87,2.47,25.4,75.4,344.2,Loamy,Black,Cotton
156,6.91,30.9,197,84,345,0.73,0.25,27.6,66.5,269.1,Silty,Red,Cotton
157,7.63,29.5,176,99,106,0.66,1.38,26.4,59.8,119.1,Silty,Black,Cotton
158,7.26,46.1,173,51,294,1.3,1.01,21.5,89.7,159.3,Loamy,Alluvial,Cotton
159,6.95,26.5,93,45,335,0.87,2.83,37.6,81.3,264.4,Silty,Alluvial,Cotton
160,6.54,48.6,214,45,197,0.53,2.06,25.6,93.8,297.3,Clay,Alluvial,Cotton
161,5.13,72.3,50,54,276,1.55,2.27,22.3,84.7,138.6,Loamy,Red,Cotton
162,5.35,59.5,91,41,75,1.57,1.64,30.8,38.1,179.9,Silty,Black,Cotton
163,7.18,23.2,170,30,258,1.54,2.65,27.5,74.0,279.2,Loamy,Alluvial,Cotton
164,5.91,18.5,52,93,343,0.74,2.24,35.0,37.2,327.2,Silty,Red,Cotton
165,7.99,17.2,131,73,145,2.08,2.89,36.5,87.6,62.7,Sandy,Alluvial,Cotton
166,5.91,74.3,169,77,302,1.99,0.49,28.1,51.4,294.6,Loamy,Red,Cotton
167,7.34,53.9,213,33,57,1.7,2.39,29.4,80.4,110.9,Silty,Laterite,Cotton
168,6.65,20.2,201,22,144,2.17,1.48,36.7,35.4,171.2,Silty,Alluvial,Cotton
169,8.05,33.1,215,83,55,0.8,1.14,22.7,75.1,195.0,Clay,Laterite,Cotton
170,7.2,70.4,210,49,110,1.51,2.83,25.4,48.3,337.6,Silty,Red,Cotton
171,6.46,74.3,125,63,331,2.03,2.3,34.0,84.5,280.9,Sandy,Laterite,Cotton
172,6.69,36.7,174,24,81,1.87,2.72,22.0,67.2,107.7,Silty,Black,Cotton
173,7.18,58.0,155,21,311,1.15,0.26,20.6,59.9,223.5,Silty,Alluvial,Cotton
174,7.31,38.8,30,37,346,0.44,1.33,32.0,67.5,77.5,Sandy,Laterite,Cotton
175,5.1,39.5,64,92,265,1.01,2.68,27.0,90.0,169.5,Sandy,Red,Cotton
176,7.09,35.9,75,78,251,1.3,2.21,22.5,35.2,66.6,Loamy,Laterite,Cotton
177,7.16,47.7,166,58,167,0.77,1.1,23.5,91.2,270.3,Sandy,Black,Cotton
178,7.59,40.2,34,40,155,0.43,1.82,26.9,75.3,312.9,Clay,Black,Cotton
179,6.29,29.1,85,17,121,1.26,0.94,34.3,78.9,152.5,Loamy,Red,Cotton
180,5.97,23.6,199,76,163,1.09,0.9,29.1,70.5,273.2,Clay,Laterite,Cotton
181,6.78,17.8,118,92,245,1.79,1.02,26.3,44.0,169.2,Silty,Red,Cotton
182,7.72,33.0,211,28,287,2.04,1.73,37.4,68.4,98.9,Clay,Alluvial,Cotton
183,5.65,53.8,145,57,97,1.32,2.51,19.0,57.6,235.4,Sandy,Black,Cotton
184,5.6,60.7,215,95,336,0.71,0.71,36.1,53.2,323.6,Clay,Red,Cotton
185,8.08,22.0,152,41,154,1.05,0.79,24.4,52.0,195.2,Loamy,Alluvial,Cotton
186,5.84,45.8,157,69,100,1.83,2.19,33.2,54.2,118.9,Loamy,Laterite,Cotton
187,5.15,66.8,219,28,58,0.8,2.81,29.6,60.1,104.2,Loamy,Red,Cotton
188,6.22,65.0,157,80,222,0.79,2.48,37.3,73.5,202.3,Clay,Alluvial,Cotton
189,5.54,58.2,155,33,327,2.18,2.88,28.5,85.3,81.6,Sandy,Black,Cotton
190,6.32,65.6,89,18,127,0.32,1.57,25.5,72.1,253.4,Silty,Laterite,Cotton
191,5.05,46.9,135,11,58,1.31,0.9,37.5,36.0,295.8,Silty,Red,Cotton
192,5.34,20.8,68,40,148,1.48,0.83,25.1,82.7,82.9,Silty,Laterite,Cotton
193,6.81,74.4,87,48,91,1.54,2.59,33.2,40.6,170.0,Silty,Black,Cotton
194,7.04,57.2,51,73,272,1.53,1.06,37.5,93.4,319.5,Sandy,Red,Cotton
195,5.68,67.1,175,70,188,0.39,0.32,36.5,89.0,223.4,Sandy,Red,Cotton
196,7.97,33.9,83,85,123,1.73,2.17,26.0,39.6,107.1,Clay,Laterite,Cotton
197,7.17,47.4,128,27,90,1.25,2.93,19.1,61.2,303.2,Loamy,Laterite,Cotton
198,8.1,34.6,192,44,280,1.23,1.13,36.8,60.9,257.1,Silty,Black,Cotton
199,7.47,32.7,93,19,92,0.81,1.2,33.7,44.3,173.0,Loamy,Black,Cotton
200,5.29,71.6,143,56,188,0.49,0.35,26.6,68.4,208.6,Sandy,Black,Cotton
201,5.29,48.3,182,86,216,1.94,0.14,26.3,81.8,270.2,Clay,Red,Sugarcane
202,7.19,25.2,98,48,187,1.24,0.28,26.7,60.3,200.4,Sandy,Alluvial,Sugarcane
203,5.81,29.8,190,73,150,1.17,0.49,18.1,58.7,304.1,Silty,Alluvial,Sugarcane
204,6.41,40.8,196,86,119,0.87,1.85,31.9,63.7,111.5,Silty,Alluvial,Sugarcane
205,5.93,56.7,155,83,174,0.92,0.91,33.7,56.9,330.3,Clay,Red,Sugarcane
206,7.18,48.0,216,69,157,1.13,0.94,31.9,84.1,290.7,Silty,Laterite,Sugarcane
207,5.45,33.2,94,94,128,1.66,2.39,19.5,94.4,199.0,Silty,Laterite,Sugarcane
208,6.74,62.4,122,99,324,1.43,2.75,20.2,49.9,252.8,Clay,Black,Sugarcane
209,6.8,53.7,195,61,219,2.13,1.35,18.2,50.5,208.1,Clay,Laterite,Sugarcane
210,6.2,42.8,203,85,306,0.59,2.99,27.7,52.7,327.0,Sandy,Black,Sugarcane
211,7.66,58.8,119,49,225,1.17,0.7,27.7,63.6,187.1,Silty,Alluvial,Sugarcane
212,5.21,17.7,211,24,61,1.91,1.98,31.5,44.9,345.3,Clay,Red,Sugarcane
213,6.77,34.9,139,69,168,1.82,1.93,21.7,74.4,174.7,Clay,Laterite,Sugarcane
214,6.9,38.3,210,37,155,0.83,2.14,33.9,69.6,291.9,Clay,Alluvial,Sugarcane
215,6.04,42.5,97,95,300,1.3,1.95,29.9,71.7,230.2,Loamy,Alluvial,Sugarcane
216,7.71,52.0,202,100,202,2.05,1.81,31.4,53.8,129.2,Sandy,Red,Sugarcane
217,6.19,23.5,129,63,120,1.39,1.33,27.7,67.2,326.6,Clay,Red,Sugarcane
218,6.57,23.4,110,67,77,1.94,2.86,27.7,46.7,171.3,Silty,Laterite,Sugarcane
219,7.19,39.9,143,72,135,0.46,0.19,33.2,52.5,139.7,Loamy,Red,Sugarcane
220,7.5,48.9,156,80,311,0.52,0.43,33.5,84.4,166.4,Sandy,Laterite,Sugarcane
221,6.75,74.4,56,93,176,0.87,3.0,27.0,55.9,296.9,Silty,Black,Sugarcane
222,7.48,29.2,218,85,229,1.94,1.87,26.6,72.0,287.6,Clay,Black,Sugarcane
223,6.82,46.9,182,78,136,0.91,2.14,23.8,51.0,308.8,Sandy,Red,Sugarcane
224,8.08,62.1,45,45,114,1.63,0.48,20.9,54.3,131.8,Silty,Laterite,Sugarcane
225,5.45,52.9,190,63,242,1.16,1.94,35.6,40.6,209.5,Loamy,Alluvial,Sugarcane
226,6.46,44.3,178,10,97,1.69,1.43,31.3,56.5,78.4,Silty,Red,Sugarcane
227,8.1,64.5,156,44,215,1.87,1.08,29.6,69.0,200.7,Loamy,Black,Sugarcane
228,5.15,52.6,147,12,113,2.07,0.56,27.1,94.5,184.1,Clay,Alluvial,Sugarcane
229,5.51,71.0,100,21,234,0.78,1.18,36.1,44.9,174.9,Loamy,Red,Sugarcane
230,6.37,20.5,54,10,159,1.21,0.48,22.5,75.8,62.7,Loamy,Black,Sugarcane
231,8.16,40.3,63,71,86,0.73,0.36,34.1,41.2,166.6,Loamy,Red,Sugarcane
232,6.22,63.8,64,92,123,0.43,1.73,30.2,44.8,161.8,Clay,Red,Sugarcane
233,7.94,52.0,143,37,94,2.0,0.51,20.5,78.8,161.9,Silty,Alluvial,Sugarcane
234,7.53,29.9,195,20,177,1.35,1.84,30.2,81.7,260.2,Loamy,Red,Sugarcane
235,6.66,45.6,130,47,77,1.79,2.4,22.8,58.2,129.9,Sandy,Black,Sugarcane
236,8.16,71.0,63,59,341,1.1,1.68,21.5,63.3,346.3,Sandy,Black,Sugarcane
237,6.88,15.8,85,15,80,2.1,1.25,23.7,77.8,282.5,Silty,Laterite,Sugarcane
238,5.26,47.2,187,29,192,0.46,0.33,36.4,93.5,105.1,Loamy,Laterite,Sugarcane
239,6.88,60.8,196,97,83,0.89,1.37,37.1,49.3,130.9,Silty,Black,Sugarcane
240,6.45,51.5,109,95,139,0.53,2.15,32.0,44.8,336.4,Loamy,Red,Sugarcane
241,6.19,60.0,98,25,65,0.94,1.35,28.5,50.8,342.8,Sandy,Laterite,Sugarcane
242,6.46,36.6,157,82,135,1.0,0.84,20.1,69.4,269.6,Clay,Black,Sugarcane
243,5.14,66.8,92,15,291,0.99,2.77,21.6,92.6,70.3,Silty,Red,Sugarcane
244,6.03,40.0,214,50,188,1.87,1.76,20.4,75.4,75.3,Clay,Black,Sugarcane
245,8.05,19.1,149,46,209,0.92,1.7,18.2,47.0,223.5,Loamy,Red,Sugarcane
246,6.48,50.5,156,35,329,1.74,0.81,18.1,59.6,127.6,Loamy,Black,Sugarcane
247,8.04,15.1,198,58,207,0.5,1.64,22.8,64.5,77.4,Clay,Alluvial,Sugarcane
248,5.3,70.3,163,62,240,1.17,2.27,29.6,65.3,244.8,Silty,Black,Sugarcane
249,6.89,18.7,199,26,171,0.85,2.57,36.5,58.6,301.3,Loamy,Alluvial,Sugarcane
250,6.45,29.0,81,27,349,0.51,0.41,27.0,53.8,95.0,Loamy,Red,Sugarcane
251,6.45,42.8,60,21,130,1.83,0.98,32.1,71.2,122.4,Loamy,Red,Groundnut
252,5.29,29.9,121,60,312,0.39,0.97,34.4,45.4,336.1,Silty,Red,Groundnut
253,5.3,21.1,65,25,56,0.42,2.36,22.4,46.9,176.2,Sandy,Alluvial,Groundnut
254,7.94,19.5,46,35,277,1.84,0.37,34.9,83.5,95.5,Silty,Black,Groundnut
255,5.54,49.4,215,60,304,0.36,2.08,21.5,47.9,114.3,Loamy,Laterite,Groundnut
256,7.83,17.1,188,88,175,1.53,1.55,35.7,63.7,85.4,Silty,Red,Groundnut
257,6.34,53.6,164,41,328,1.81,2.97,33.6,56.5,217.9,Silty,Alluvial,Groundnut
258,7.92,45.1,129,44,142,0.35,1.83,18.6,83.6,141.5,Silty,Alluvial,Groundnut
259,7.45,75.0,70,22,176,1.55,0.87,34.3,90.0,76.2,Clay,Laterite,Groundnut
260,6.14,65.4,74,32,171,1.43,2.44,32.0,89.8,68.2,Loamy,Red,Groundnut
261,6.8,26.3,156,79,208,0.63,0.21,19.1,71.1,65.8,Silty,Black,Groundnut
262,6.06,51.8,63,53,140,2.05,2.55,24.5,36.3,230.1,Clay,Black,Groundnut
263,7.71,66.6,48,57,252,1.41,1.08,24.5,93.6,272.4,Silty,Laterite,Groundnut
264,7.08,25.5,173,98,232,0.72,1.81,21.5,53.4,259.7,Clay,Red,Groundnut
265,7.33,71.9,176,60,340,0.36,1.85,36.4,93.1,124.1,Sandy,Laterite,Groundnut
266,5.45,59.7,90,54,213,0.62,2.67,19.8,77.5,245.3,Loamy,Laterite,Groundnut
267,5.04,27.6,207,18,229,0.79,0.41,18.0,58.2,272.4,Clay,Laterite,Groundnut
268,6.58,37.7,169,58,101,1.87,2.39,29.6,80.5,125.4,Silty,Black,Groundnut
269,7.56,17.0,35,50,183,2.11,0.32,21.4,57.5,272.3,Sandy,Alluvial,Groundnut
270,6.9,51.8,153,100,65,1.12,2.0,30.1,61.1,75.5,Loamy,Red,Groundnut
271,8.12,39.6,171,79,185,1.56,0.96,19.9,58.6,219.4,Silty,Red,Groundnut
272,5.17,15.2,52,47,295,0.68,0.17,21.4,52.5,83.8,Sandy,Alluvial,Groundnut
273,7.51,43.3,199,43,96,1.52,1.22,25.4,57.9,114.1,Sandy,Alluvial,Groundnut
274,6.41,30.8,98,82,81,0.59,2.12,19.9,75.1,294.4,Silty,Red,Groundnut
275,6.77,65.4,163,63,324,1.61,2.82,29.5,49.1,146.7,Silty,Black,Groundnut
276,6.61,69.0,176,96,125,0.53,2.3,21.5,94.1,341.9,Clay,Red,Groundnut
277,5.14,19.7,204,65,153,2.19,1.92,34.7,50.5,324.1,Sandy,Black,Groundnut
