transaction_id,amount,hour_of_day,merchant_category,channel,distance_from_home_km,account_age_days,num_transactions_last_24h,avg_transaction_amount_30d,amount_to_avg_ratio,is_foreign_transaction,card_present,is_new_device,cvv_match,failed_pin_attempts_24h,is_fraud
TXN000024,289.72,14,electronics,online,0.0,2757,2,30.1,9.63,0,1,1,0,0,0
TXN000025,88.51,17,fuel,in_store,0.0,1270,3,93.73,0.94,1,1,0,1,0,0
TXN000026,78.44,17,grocery,in_store,0.0,2698,3,66.92,1.17,0,0,0,1,0,0
TXN000027,35.05,16,utilities,atm,16.94,4060,2,115.0,0.3,0,0,1,1,0,0
TXN000028,160.96,20,travel,online,30.36,2737,1,77.56,2.08,0,0,0,1,0,0
TXN000029,93.67,8,online_retail,in_store,31.73,1492,0,99.33,0.94,1,1,0,1,0,0
TXN000030,73.78,9,utilities,online,61.66,1915,2,667.61,0.11,0,1,0,1,0,0
TXN000031,87.99,2,online_retail,online,0.0,1372,1,107.75,0.82,0,1,0,1,0,0
TXN000032,48.92,18,grocery,mobile_app,0.0,3741,0,135.79,0.36,0,1,0,1,0,0
TXN000033,182.25,12,electronics,online,51.29,161,2,92.94,1.96,1,1,0,1,0,0
TXN000034,93.65,18,grocery,mobile_app,8.38,2530,1,104.77,0.89,1,1,0,1,1,0
TXN000035,97.71,11,grocery,in_store,2.47,1377,5,6.16,15.86,0,1,0,1,0,0
TXN000036,102.49,1,utilities,in_store,91.13,1376,2,80.7,1.27,0,0,1,1,0,0
TXN000037,46.33,3,restaurant,online,63.52,2246,1,191.37,0.24,0,1,0,1,0,0
TXN000038,103.48,17,online_retail,mobile_app,22.15,3178,4,5.74,18.03,0,0,0,1,0,0
TXN000039,208.13,5,utilities,atm,0.0,3197,1,258.17,0.81,0,1,0,1,0,0
TXN000040,392.41,3,online_retail,online,589.74,582,7,198.09,1.98,1,0,1,0,0,1
TXN000041,223.12,20,online_retail,online,16.87,924,2,82.06,2.72,0,0,1,1,0,0
TXN000042,137.92,18,utilities,mobile_app,3.17,588,3,70.32,1.96,1,1,0,1,0,0
TXN000043,99.51,16,grocery,atm,34.14,3342,1,125.57,0.79,0,0,1,1,0,0
TXN000044,0.0,19,healthcare,in_store,67.17,2563,1,265.38,0.0,0,1,1,1,0,0
TXN000045,113.67,20,utilities,online,34.3,1340,0,77.09,1.47,0,1,0,1,0,0
TXN000046,211.88,12,restaurant,online,45.24,3762,3,155.75,1.36,0,1,0,1,0,0
TXN000047,102.29,11,grocery,in_store,24.28,2639,1,129.66,0.79,0,0,1,1,0,0
TXN000048,67.51,8,grocery,in_store,43.22,3101,5,99.96,0.68,0,1,1,1,0,0
TXN000049,0.0,17,grocery,in_store,0.0,4453,2,21.02,0.0,0,0,0,1,0,0
TXN000050,102.02,9,electronics,online,83.74,2081,6,158.47,0.64,0,1,0,1,0,0
TXN000051,166.33,16,restaurant,in_store,0.0,1517,4,195.51,0.85,0,1,0,1,0,0
TXN000052,185.47,23,online_retail,online,15.26,2627,1,42.26,4.39,0,1,0,1,0,0
TXN000053,224.27,14,utilities,in_store,0.0,1360,5,95.77,2.34,0,1,0,1,0,0
TXN000054,34.33,0,electronics,mobile_app,4.0,3830,1,87.31,0.39,0,0,0,1,0,0
TXN000055,1016.76,5,utilities,in_store,400.96,270,8,170.09,5.98,0,0,1,1,0,1
TXN000056,733.67,1,entertainment,online,254.25,137,9,145.5,5.04,1,0,1,0,0,1
TXN000057,44.29,10,healthcare,in_store,35.48,291,1,1.0,44.29,0,1,0,1,0,0
TXN000058,1468.81,8,electronics,mobile_app,370.89,466,8,218.75,6.71,1,1,1,1,0,1
TXN000059,168.62,18,utilities,online,6.41,1509,1,164.93,1.02,0,1,1,1,0,0
TXN000060,30.94,10,fuel,mobile_app,80.68,1296,0,47.12,0.66,0,1,0,1,0,0
TXN000061,181.91,2,fuel,online,0.0,1163,0,102.93,1.77,0,1,0,1,0,0
TXN000062,872.52,22,grocery,online,338.97,105,8,206.43,4.23,1,0,0,1,3,1
TXN000063,73.99,17,restaurant,online,47.32,973,1,1.0,73.99,0,0,0,1,0,0
TXN000064,158.46,19,travel,in_store,17.0,498,2,79.95,1.98,1,1,0,1,0,0
TXN000065,223.98,17,electronics,in_store,22.02,1398,0,45.02,4.98,0,1,0,1,0,0
TXN000066,75.26,22,online_retail,in_store,50.7,712,0,57.34,1.31,0,1,0,0,0,0
TXN000067,63.81,10,travel,in_store,0.0,612,0,41.82,1.53,0,0,0,1,0,0
TXN000068,113.55,16,utilities,online,0.0,637,0,1.0,113.55,0,1,0,1,0,0
TXN000069,78.78,7,healthcare,in_store,0.0,2412,0,91.95,0.86,0,1,0,1,0,0
TXN000070,0.0,16,jewelry,mobile_app,0.0,1441,1,301.65,0.0,0,1,0,1,0,0
TXN000071,0.0,19,healthcare,online,73.81,913,2,158.67,0.0,0,1,0,1,0,0
TXN000072,56.37,10,entertainment,in_store,0.0,584,1,23.29,2.42,0,1,0,1,0,0
TXN000073,164.26,21,utilities,in_store,0.0,512,1,188.84,0.87,0,1,0,1,0,0
TXN000074,265.1,19,entertainment,online,0.0,428,0,143.1,1.85,0,1,0,0,0,0
TXN000075,109.18,19,utilities,in_store,65.63,2191,2,52.51,2.08,0,1,0,1,0,0
TXN000076,0.0,13,online_retail,online,0.0,3455,5,61.89,0.0,0,1,0,1,0,0
TXN000077,171.96,12,electronics,atm,17.18,2066,1,52.26,3.29,0,0,0,1,0,0
TXN000078,975.56,0,jewelry,online,844.34,475,4,236.91,4.12,1,0,1,1,1,1
TXN000079,110.44,20,restaurant,in_store,0.0,1600,2,61.41,1.8,0,1,0,1,0,0
TXN000080,0.0,0,electronics,in_store,53.48,1324,4,97.98,0.0,0,0,1,1,0,0
TXN000081,256.27,7,online_retail,in_store,39.69,1321,1,68.15,3.76,0,1,0,1,0,0
TXN000082,112.04,10,grocery,online,19.57,3611,1,50.98,2.2,0,1,0,1,0,0
TXN000083,135.41,13,grocery,atm,0.0,2739,2,67.72,2.0,0,0,0,1,0,0
TXN000084,156.0,11,grocery,mobile_app,0.0,2629,1,20.71,7.53,0,1,0,1,0,0
TXN000085,94.97,11,online_retail,online,18.24,0,2,65.65,1.45,0,1,0,1,0,0
TXN000086,114.72,18,restaurant,online,0.0,141,2,53.61,2.14,0,1,0,1,0,0
TXN000087,18.06,13,grocery,mobile_app,38.1,1113,0,114.84,0.16,0,0,0,1,0,1
TXN000088,103.42,21,electronics,online,52.39,1874,0,25.74,4.02,0,1,0,1,0,0
TXN000089,69.44,16,utilities,in_store,0.0,3695,4,159.34,0.44,0,1,0,1,0,0
TXN000090,61.21,15,online_retail,in_store,36.01,3247,3,32.95,1.86,0,1,0,1,0,0
TXN000091,201.31,18,electronics,online,0.0,1200,1,76.43,2.63,1,0,1,1,0,0
TXN000092,143.1,8,online_retail,online,80.88,2512,1,199.76,0.72,0,0,0,1,0,0
TXN000093,29.76,18,fuel,online,96.15,1553,0,105.87,0.28,0,0,1,1,0,0
TXN000094,145.43,15,grocery,atm,0.0,1376,0,102.77,1.42,0,1,0,1,0,0
TXN000095,109.92,21,fuel,in_store,44.92,687,1,47.36,2.32,0,1,0,1,0,0
TXN000096,0.0,8,online_retail,mobile_app,66.39,2952,1,206.27,0.0,0,1,0,1,0,0
TXN000097,26.83,8,online_retail,in_store,0.0,373,2,51.14,0.52,0,0,0,1,0,1
TXN000098,0.0,14,grocery,online,0.0,3136,1,1.0,0.0,0,1,0,1,0,0
TXN000099,45.08,11,online_retail,in_store,0.0,2033,0,100.68,0.45,0,1,0,1,0,0
TXN000100,243.39,23,entertainment,online,0.0,3238,3,290.76,0.84,0,0,0,1,0,0
TXN000101,21.66,15,electronics,mobile_app,0.0,643,2,99.76,0.22,0,0,0,1,0,0
TXN000102,15.22,20,entertainment,mobile_app,0.0,1882,4,102.94,0.15,0,1,0,1,0,0
TXN000103,15.79,3,grocery,atm,38.73,1798,0,144.07,0.11,0,1,0,1,0,0
TXN000104,102.39,10,electronics,in_store,0.0,3189,0,68.41,1.5,0,1,0,1,0,0
TXN000105,76.47,1,fuel,online,0.0,825,2,23.16,3.3,0,1,0,1,0,0
TXN000106,146.88,8,fuel,online,30.86,2511,2,35.94,4.09,0,0,0,1,0,0
TXN000107,44.89,11,electronics,mobile_app,35.93,1734,1,47.9,0.94,0,0,0,1,0,0
TXN000108,160.9,13,restaurant,mobile_app,0.0,0,1,41.51,3.88,0,1,0,1,0,0
TXN000109,0.0,16,entertainment,mobile_app,44.53,1176,1,62.59,0.0,0,1,0,1,0,0
TXN000110,42.76,8,grocery,online,66.45,3106,0,110.43,0.39,0,1,0,1,0,0
TXN000111,118.47,10,online_retail,mobile_app,6.35,3364,1,119.76,0.99,0,0,0,1,0,0
TXN000112,78.72,19,grocery,atm,0.0,1811,4,97.93,0.8,1,0,0,1,0,0
TXN000113,122.39,6,grocery,in_store,41.65,572,3,296.71,0.41,0,1,0,1,0,0
TXN000114,36.95,18,utilities,in_store,91.62,2378,5,1.0,36.95,0,1,0,1,1,0
TXN000115,185.78,8,electronics,online,3.06,1526,2,64.28,2.89,0,1,0,1,0,0
TXN000116,75.13,21,grocery,in_store,5.62,3873,2,46.48,1.62,0,1,0,1,0,0
TXN000117,260.4,19,fuel,mobile_app,80.38,2263,6,160.97,1.62,0,0,0,1,0,0
TXN000118,175.59,12,restaurant,online,8.66,2659,0,162.99,1.08,0,1,0,1,0,0
TXN000119,131.88,12,grocery,mobile_app,0.0,2815,3,97.54,1.35,0,1,0,1,0,0
TXN000120,197.68,19,online_retail,online,25.83,855,2,191.69,1.03,0,1,0,1,0,0
TXN000121,64.28,4,electronics,in_store,0.0,911,0,156.82,0.41,0,1,0,1,0,0
TXN000122,0.0,12,grocery,in_store,0.0,0,1,118.67,0.0,0,1,0,1,0,0
TXN000123,0.0,8,online_retail,in_store,0.0,3400,1,40.12,0.0,0,0,0,1,0,0
TXN000124,84.77,16,utilities,online,66.57,662,2,130.96,0.65,1,0,0,1,0,0
TXN000125,91.88,19,online_retail,online,0.0,442,1,1.0,91.88,0,1,0,1,0,0
TXN000126,48.06,12,travel,in_store,20.31,0,2,74.77,0.64,0,0,1,1,0,0
TXN000127,0.0,21,electronics,online,30.87,923,3,23.65,0.0,0,0,0,1,0,0
TXN000128,0.0,14,online_retail,in_store,23.39,635,5,46.21,0.0,1,1,0,1,0,0
TXN000129,144.34,9,travel,online,17.7,2679,1,6.02,23.98,0,0,0,1,0,0
TXN000130,131.31,17,entertainment,in_store,36.8,3341,2,170.37,0.77,0,0,0,1,0,0
TXN000131,65.41,12,grocery,mobile_app,13.25,1415,5,30.37,2.15,0,1,0,1,0,0
TXN000132,31.22,17,restaurant,atm,0.0,1739,1,102.58,0.3,0,1,0,1,0,1
TXN000133,145.45,8,travel,in_store,0.0,1632,1,110.86,1.31,0,1,0,1,0,0
TXN000134,119.93,15,restaurant,online,0.0,1323,2,68.48,1.75,0,0,0,1,0,0
TXN000135,140.05,11,fuel,in_store,23.67,645,3,37.38,3.75,0,0,0,1,0,0
TXN000136,534.16,15,electronics,mobile_app,425.62,588,12,96.25,5.55,1,0,1,1,0,1
TXN000137,39.81,2,travel,mobile_app,54.68,1417,2,140.83,0.28,0,0,1,1,0,0
TXN000138,66.73,22,online_retail,online,33.77,2679,1,191.71,0.35,0,1,0,1,0,0
TXN000139,205.8,0,online_retail,mobile_app,73.36,460,9,364.02,0.57,1,1,1,1,0,1
TXN000140,11.76,20,fuel,online,0.0,3134,2,128.47,0.09,0,1,0,1,0,0
TXN000141,990.05,3,online_retail,online,283.0,344,8,259.72,3.81,1,0,1,0,2,1
TXN000142,134.65,13,electronics,mobile_app,0.0,3742,3,139.49,0.97,0,0,0,1,0,0
TXN000143,76.57,17,online_retail,online,0.0,1009,4,49.52,1.55,0,1,0,1,0,0
TXN000144,123.52,3,electronics,online,22.42,1676,0,87.55,1.41,0,1,0,1,0,0
TXN000145,59.51,17,grocery,online,11.8,147,2,160.22,0.37,0,1,0,1,0,0
TXN000146,210.77,13,travel,online,110.74,2259,0,191.02,1.1,0,0,0,1,0,0
TXN000147,0.0,21,grocery,mobile_app,36.37,1015,2,292.84,0.0,0,1,0,1,0,0
TXN000148,0.0,20,utilities,mobile_app,85.97,2556,1,1.0,0.0,0,1,0,1,0,0
TXN000149,182.28,21,grocery,online,34.64,0,5,96.23,1.89,0,1,0,1,0,0
TXN000150,30.77,22,online_retail,in_store,62.18,4060,0,116.76,0.26,0,0,0,1,0,0
TXN000151,132.81,8,fuel,online,0.0,2013,1,76.81,1.73,0,1,0,1,0,0
TXN000152,0.0,21,grocery,mobile_app,0.0,3241,2,45.76,0.0,0,1,0,1,0,0
TXN000153,117.46,2,restaurant,atm,0.0,2018,2,63.93,1.84,0,0,0,1,0,0
TXN000154,164.83,9,restaurant,mobile_app,20.98,2205,0,85.14,1.94,0,0,0,1,0,0
TXN000155,151.95,16,fuel,in_store,0.0,2512,2,110.18,1.38,0,1,0,1,1,0
TXN000156,0.0,23,healthcare,in_store,0.0,3726,0,22.73,0.0,0,0,0,1,0,0
TXN000157,147.39,0,electronics,online,26.27,2356,3,155.09,0.95,0,0,0,1,0,0
TXN000158,221.82,0,grocery,atm,0.0,3755,2,221.53,1.0,0,1,0,0,0,0
TXN000159,285.16,17,fuel,in_store,0.0,1614,5,79.78,3.57,0,0,0,1,0,0
TXN000160,68.66,17,restaurant,in_store,0.0,1699,3,95.01,0.72,0,1,0,1,0,0
TXN000161,0.0,14,online_retail,in_store,6.23,2277,2,100.76,0.0,0,0,0,1,1,0
TXN000162,81.27,19,restaurant,mobile_app,0.0,466,4,36.06,2.25,0,1,0,1,0,0
TXN000163,295.12,4,online_retail,in_store,0.0,1450,0,131.84,2.24,1,0,0,1,0,0
TXN000164,139.29,20,restaurant,online,39.42,3547,3,24.43,5.7,0,0,0,1,0,0
TXN000165,129.14,12,fuel,in_store,28.18,2340,2,59.21,2.18,0,0,0,0,0,0
TXN000166,93.46,13,entertainment,online,0.0,2434,5,82.18,1.14,0,1,1,0,0,0
TXN000167,113.73,20,online_retail,mobile_app,0.0,539,1,111.1,1.02,0,1,0,1,0,0
TXN000168,0.0,13,travel,in_store,0.0,1278,0,79.0,0.0,0,0,0,1,0,0
TXN000169,47.71,15,grocery,online,46.93,974,0,179.34,0.27,0,1,0,1,0,0
TXN000170,115.76,8,online_retail,mobile_app,88.67,2969,2,80.24,1.44,0,0,1,1,0,0
TXN000171,81.53,2,restaurant,atm,24.47,1581,4,31.99,2.55,0,0,0,1,0,0
TXN000172,0.0,4,fuel,mobile_app,80.96,1236,4,107.45,0.0,0,0,0,1,0,0
TXN000173,85.22,14,fuel,in_store,97.29,2671,1,261.52,0.33,0,1,0,1,0,0
TXN000174,83.5,9,grocery,mobile_app,0.0,2052,1,138.98,0.6,1,1,0,1,0,0
TXN000175,28.85,14,grocery,online,70.15,450,2,109.2,0.26,0,0,0,1,0,0
TXN000176,300.14,21,entertainment,mobile_app,9.28,1204,2,130.61,2.3,0,1,0,0,0,0
TXN000177,131.87,11,jewelry,online,53.9,46,0,223.76,0.59,0,1,0,1,0,0
TXN000178,63.36,21,travel,mobile_app,47.05,30,2,1.14,55.58,0,0,0,1,0,0
TXN000179,187.45,10,electronics,in_store,0.0,10,0,1.0,187.45,0,1,0,1,0,0
TXN000180,109.95,8,utilities,in_store,0.0,3226,1,147.02,0.75,0,0,0,1,0,0
TXN000181,246.59,21,restaurant,online,0.0,2398,1,40.66,6.06,0,1,1,1,0,0
TXN000182,119.3,12,online_retail,atm,0.0,1826,2,72.8,1.64,0,0,0,1,0,0
TXN000183,0.0,19,electronics,mobile_app,41.34,2831,2,161.56,0.0,0,1,0,1,0,0
TXN000184,36.09,17,restaurant,online,94.97,3024,2,29.68,1.22,0,0,0,1,0,0
TXN000185,91.68,11,grocery,mobile_app,10.11,3272,0,46.82,1.96,0,0,0,1,0,0
TXN000186,179.08,15,grocery,online,41.24,624,1,56.57,3.17,0,1,1,1,0,0
TXN000187,137.48,8,electronics,mobile_app,76.27,2723,1,146.15,0.94,0,1,0,1,1,0
TXN000188,8.4,17,online_retail,mobile_app,33.43,3358,0,155.54,0.05,0,1,0,1,0,0
TXN000189,77.9,18,online_retail,atm,13.39,2897,2,69.74,1.12,0,0,0,1,0,0
TXN000190,0.0,9,grocery,mobile_app,0.0,365,3,147.05,0.0,0,0,0,1,0,0
TXN000191,92.78,20,grocery,atm,31.06,3942,1,159.51,0.58,0,0,0,1,0,0
TXN000192,274.69,13,restaurant,atm,51.24,3147,1,82.57,3.33,0,1,0,1,0,0
TXN000193,37.3,3,online_retail,atm,28.84,2235,1,61.46,0.61,0,1,0,1,0,0
TXN000194,68.67,18,electronics,online,30.43,2315,1,60.08,1.14,0,1,0,1,0,0
TXN000195,85.7,12,healthcare,mobile_app,12.56,3555,1,38.8,2.21,0,0,0,1,0,0
TXN000196,139.3,11,entertainment,mobile_app,0.0,793,1,143.3,0.97,0,0,0,1,1,0
TXN000197,51.88,5,restaurant,in_store,49.84,2845,3,100.02,0.52,0,0,0,1,0,0
TXN000198,0.0,13,restaurant,online,0.0,2488,5,57.27,0.0,0,1,0,1,0,0
TXN000199,36.36,13,online_retail,online,34.15,3651,1,79.7,0.46,0,1,0,1,0,0
TXN000200,186.05,0,healthcare,mobile_app,57.12,2649,1,110.75,1.68,0,1,0,1,0,0
TXN000201,107.09,6,jewelry,mobile_app,738.32,228,10,188.96,0.57,0,0,1,1,0,1
TXN000202,86.75,15,restaurant,mobile_app,11.16,2494,2,120.1,0.72,0,1,0,1,0,0
TXN000203,210.93,10,electronics,in_store,95.38,3100,1,59.81,3.53,0,0,0,1,0,0
TXN000204,25.29,9,grocery,atm,33.02,2681,2,47.63,0.53,0,0,0,1,0,0
TXN000205,129.9,14,jewelry,in_store,0.0,2361,1,51.58,2.52,0,0,0,1,0,0
TXN000206,51.47,21,restaurant,online,38.3,1581,0,294.44,0.17,0,1,1,1,0,0
TXN000207,173.54,1,electronics,online,0.0,2570,0,77.02,2.25,0,0,1,1,0,0
TXN000208,88.21,17,restaurant,mobile_app,0.0,1614,0,173.83,0.51,0,1,0,1,0,0
TXN000209,97.12,7,electronics,online,32.18,3671,4,138.64,0.7,0,1,0,1,0,0
TXN000210,50.66,20,restaurant,online,0.0,1677,2,49.12,1.03,0,1,0,1,0,0
TXN000211,13.57,15,restaurant,mobile_app,40.28,3566,1,106.43,0.13,0,1,1,1,0,0
TXN000212,149.7,15,grocery,online,0.0,2605,0,50.18,2.98,0,1,0,1,0,0
TXN000213,6.99,7,restaurant,in_store,39.69,4039,1,101.84,0.07,1,1,0,0,1,0
TXN000214,308.81,7,fuel,online,44.44,3658,1,191.91,1.61,0,0,0,1,0,0
TXN000215,239.78,17,electronics,atm,0.0,3387,1,181.99,1.32,0,1,0,1,0,0
TXN000216,231.08,8,fuel,mobile_app,35.34,835,2,10.62,21.76,0,0,0,1,0,0
TXN000217,11.31,17,grocery,online,9.7,1548,3,187.31,0.06,0,1,0,1,0,1
TXN000218,4.5,14,grocery,in_store,76.99,1602,2,69.34,0.06,0,1,0,0,0,0
TXN000219,189.26,18,utilities,online,32.52,3913,2,129.23,1.46,0,1,0,1,0,0
TXN000220,60.22,13,fuel,online,55.34,2227,2,62.02,0.97,0,1,1,1,0,0
TXN000221,0.0,9,travel,online,0.0,3156,3,36.39,0.0,0,0,0,1,0,0
TXN000222,89.33,16,restaurant,in_store,0.0,1526,2,49.82,1.79,0,1,0,1,0,0
TXN000223,209.02,20,entertainment,in_store,3.58,2966,1,103.0,2.03,0,0,0,1,0,0
TXN000224,532.08,23,online_retail,online,458.1,509,7,108.86,4.89,1,0,1,0,0,1
TXN000225,0.0,10,entertainment,mobile_app,67.44,1387,3,235.61,0.0,0,1,0,1,0,0
TXN000226,738.79,3,fuel,atm,132.18,221,4,158.58,4.66,1,0,0,1,2,1
TXN000227,72.17,16,entertainment,in_store,0.0,2907,1,58.68,1.23,0,1,0,1,0,0
TXN000228,294.84,9,online_retail,online,0.0,733,0,57.34,5.14,0,1,0,1,0,1
TXN000229,49.18,5,restaurant,online,53.1,1994,2,110.85,0.44,0,0,0,1,1,0
TXN000230,33.91,10,grocery,in_store,30.37,2015,0,66.02,0.51,0,1,0,1,0,0
TXN000231,25.13,19,utilities,in_store,22.83,1770,0,127.83,0.2,0,0,0,1,0,0
TXN000232,9.11,3,restaurant,online,55.26,1360,0,71.58,0.13,0,1,0,1,0,0
TXN000233,116.68,22,grocery,atm,0.0,353,0,65.89,1.77,0,1,0,1,0,0
TXN000234,0.0,6,healthcare,mobile_app,0.0,1031,0,76.49,0.0,0,1,0,1,0,0
TXN000235,1159.79,11,electronics,online,869.62,0,5,148.31,7.82,1,0,0,1,1,1
TXN000236,1164.66,12,healthcare,mobile_app,384.81,240,4,134.11,8.68,1,1,1,1,0,1
TXN000237,25.65,13,electronics,online,0.0,2650,3,40.03,0.64,0,1,0,1,0,0
TXN000238,29.93,20,grocery,mobile_app,0.0,1536,3,63.57,0.47,0,1,0,1,0,0
TXN000239,30.48,21,restaurant,online,55.63,1348,0,74.94,0.41,0,1,0,1,0,0
TXN000240,123.36,22,entertainment,online,10.87,2439,2,237.15,0.52,0,0,0,1,0,0
TXN000241,634.95,1,electronics,online,65.95,320,5,74.88,8.48,1,0,1,1,0,1
TXN000242,85.57,0,entertainment,in_store,19.19,525,1,1.0,85.57,0,1,0,1,0,0
TXN000243,134.53,15,restaurant,online,0.0,3256,3,62.86,2.14,1,1,1,1,0,0
TXN000244,109.89,16,grocery,mobile_app,21.67,116,2,58.31,1.88,0,1,0,0,0,0
TXN000245,212.56,21,restaurant,in_store,43.27,1843,3,40.88,5.2,0,0,0,1,0,0
TXN000246,232.88,9,entertainment,online,53.38,1065,0,50.0,4.66,0,1,0,1,0,0
TXN000247,94.09,17,entertainment,online,33.71,3542,0,30.49,3.09,0,1,0,1,0,0
TXN000248,296.52,12,fuel,online,29.59,2427,1,83.82,3.54,0,1,0,1,0,0
TXN000249,151.99,21,fuel,atm,0.0,1407,2,25.12,6.05,0,1,0,1,0,0
TXN000250,83.53,21,online_retail,online,0.15,2051,1,60.71,1.38,0,1,0,1,0,0
TXN000251,0.0,10,utilities,in_store,0.0,623,2,87.22,0.0,0,0,0,1,0,0
TXN000252,259.54,15,electronics,online,65.19,1386,5,44.57,5.82,0,0,0,1,1,1
TXN000253,64.77,16,restaurant,online,53.44,1727,1,176.9,0.37,0,0,0,1,0,0
TXN000254,94.85,14,electronics,atm,0.0,678,3,130.85,0.72,1,0,1,1,0,0
TXN000255,98.37,10,restaurant,atm,1.08,1021,2,34.62,2.84,0,1,0,1,0,0
TXN000256,0.0,10,electronics,in_store,11.79,2335,2,79.85,0.0,0,1,0,1,0,0
TXN000257,0.0,10,jewelry,online,56.38,684,1,59.47,0.0,1,1,0,1,0,0
TXN000258,239.62,15,grocery,in_store,0.0,2342,2,61.56,3.89,0,1,0,1,0,0
TXN000259,68.55,8,jewelry,online,0.0,0,1,288.37,0.24,0,1,0,1,0,0
TXN000260,798.23,8,travel,mobile_app,112.17,588,9,112.23,7.11,1,1,0,1,1,1
TXN000261,0.0,21,online_retail,online,0.0,1695,0,27.59,0.0,0,1,0,1,0,0
TXN000262,53.29,9,restaurant,mobile_app,12.95,2224,0,57.51,0.93,0,0,0,1,0,0
TXN000263,103.44,8,grocery,online,38.45,1429,0,241.27,0.43,0,1,0,1,0,1
TXN000264,55.96,22,grocery,in_store,61.57,784,2,33.48,1.67,0,0,0,0,0,0
TXN000265,78.65,4,healthcare,online,0.0,241,0,54.62,1.44,0,1,0,1,0,0
TXN000266,158.82,1,grocery,atm,38.06,1761,1,73.49,2.16,0,1,0,1,0,0
TXN000267,39.41,15,entertainment,atm,58.55,3400,4,121.11,0.33,0,0,0,1,0,0
TXN000268,14.99,10,restaurant,in_store,0.0,3831,2,388.02,0.04,0,1,0,1,0,0
TXN000269,58.02,21,online_retail,online,51.22,3738,1,197.26,0.29,0,1,0,0,0,0
TXN000270,222.71,2,fuel,online,17.32,3500,3,109.63,2.03,0,0,0,1,0,0
TXN000271,264.24,11,fuel,online,0.0,417,3,109.3,2.42,0,0,0,1,0,0
TXN000272,0.0,16,healthcare,mobile_app,12.2,2988,3,80.6,0.0,0,1,0,1,0,0
TXN000273,0.0,8,electronics,atm,0.0,1576,1,64.62,0.0,0,0,0,1,0,0
TXN000274,49.31,5,electronics,mobile_app,38.69,784,0,17.54,2.81,0,1,0,1,0,0
TXN000275,112.42,16,fuel,atm,0.0,2922,1,27.28,4.12,0,1,0,1,0,0
TXN000276,607.03,3,jewelry,atm,256.45,0,6,109.18,5.56,1,1,1,1,0,1
TXN000277,165.19,6,fuel,atm,0.0,1410,2,95.01,1.74,0,0,0,1,0,0
TXN000278,90.96,19,restaurant,in_store,0.0,1882,2,93.93,0.97,0,1,1,1,0,0
TXN000279,74.18,21,restaurant,in_store,7.72,489,0,159.39,0.47,0,0,0,1,0,0
TXN000280,206.36,10,utilities,in_store,0.0,2696,1,58.61,3.52,0,0,0,1,0,0
TXN000281,0.0,2,restaurant,online,35.39,911,3,74.48,0.0,0,0,0,0,0,0
TXN000282,117.26,10,grocery,mobile_app,33.26,0,0,124.92,0.94,0,0,0,1,0,0
