order_id,order_date,customer_id,customer_segment,region,sales_channel,product_category,product_name,quantity,currency,unit_price,discount_pct,gross_sales,discount_amount,net_sales,unit_cost,cost_of_goods_sold,shipping_cost,gross_profit,contribution_profit,contribution_margin_pct,delivery_days,customer_satisfaction_1_to_5
ORD-00022,2025-01-11,CUS-0127,Small Business,West,Direct Sales,Furniture,Office Chair,6,USD,195,0,1170,0,1170,105,630,14.19,540,525.81,44.94,8,3
ORD-00023,2025-01-11,CUS-0161,Small Business,South,Direct Sales,Furniture,Desk,7,USD,350,0,2450,0,2450,210,1470,20.08,980,959.92,39.18,7,4
ORD-00024,2025-01-11,CUS-0002,Corporate,South,Direct Sales,Furniture,Desk,17,USD,350,0,5950,0,5950,210,3570,26.04,2380,2353.96,39.56,5,4
ORD-00025,2025-01-11,CUS-0013,Consumer,South,Online,Technology,Monitor,1,USD,249,15,249,37.35,211.65,155,155,10.66,56.65,45.99,21.73,6,4
ORD-00026,2025-01-11,CUS-0189,Small Business,North,Direct Sales,Furniture,Desk,6,USD,350,10,2100,210,1890,210,1260,12.94,630,617.06,32.65,7,4
ORD-00027,2025-01-11,CUS-0207,Corporate,South,Online,Technology,Keyboard,20,USD,65,10,1300,130,1170,28,560,28.85,610,581.15,49.67,2,5
ORD-00028,2025-01-13,CUS-0189,Small Business,North,Direct Sales,Technology,Monitor,4,USD,249,0,996,0,996,155,620,13.91,376,362.09,36.35,2,4
ORD-00029,2025-01-13,CUS-0220,Consumer,West,Direct Sales,Office Supplies,Notebook Set,4,USD,18,15,72,10.8,61.2,7,28,17.7,33.2,15.5,25.33,9,3
ORD-00030,2025-01-13,CUS-0232,Consumer,North,Online,Office Supplies,Notebook Set,4,USD,18,0,72,0,72,7,28,13.22,44,30.78,42.75,3,5
ORD-00031,2025-01-13,CUS-0063,Small Business,South,Direct Sales,Technology,Monitor,10,USD,249,0,2490,0,2490,155,1550,20.86,940,919.14,36.91,4,4
ORD-00032,2025-01-14,CUS-0217,Consumer,East,Online,Furniture,Office Chair,1,USD,195,15,195,29.25,165.75,105,105,7.66,60.75,53.09,32.03,1,5
ORD-00033,2025-01-14,CUS-0058,Small Business,South,Retail,Technology,Keyboard,7,USD,65,15,455,68.25,386.75,28,196,0,190.75,190.75,49.32,0,5
ORD-00034,2025-01-15,CUS-0205,Small Business,West,Retail,Furniture,Desk,4,USD,350,0,1400,0,1400,210,840,0,560,560,40,0,5
ORD-00035,2025-01-15,CUS-0021,Small Business,North,Online,Office Supplies,Paper Pack,12,USD,12,20,144,28.8,115.2,5,60,19.51,55.2,35.69,30.98,4,5
ORD-00036,2025-01-15,CUS-0037,Consumer,South,Online,Furniture,Desk,4,USD,350,0,1400,0,1400,210,840,12.75,560,547.25,39.09,2,5
ORD-00037,2025-01-15,CUS-0204,Small Business,North,Retail,Furniture,Office Chair,6,USD,195,10,1170,117,1053,105,630,0,423,423,40.17,0,5
ORD-00038,2025-01-15,CUS-0107,Small Business,East,Direct Sales,Furniture,Office Chair,11,USD,195,0,2145,0,2145,105,1155,21.45,990,968.55,45.15,8,4
ORD-00039,2025-01-15,CUS-0113,Consumer,East,Retail,Furniture,Office Chair,3,USD,195,0,585,0,585,105,315,0,270,270,46.15,0,5
ORD-00040,2025-01-16,CUS-0140,Consumer,South,Retail,Technology,Keyboard,4,USD,65,20,260,52,208,28,112,0,96,96,46.15,0,5
ORD-00041,2025-01-16,CUS-0201,Small Business,South,Retail,Accessories,Desk Lamp,1,USD,39,0,39,0,39,16,16,0,23,23,58.97,0,5
ORD-00042,2025-01-16,CUS-0053,Consumer,West,Online,Accessories,Desk Lamp,2,USD,39,15,78,11.7,66.3,16,32,11.42,34.3,22.88,34.51,1,5
ORD-00043,2025-01-16,CUS-0058,Small Business,South,Direct Sales,Office Supplies,Paper Pack,11,USD,12,0,132,0,132,5,55,22.85,77,54.15,41.02,3,4
ORD-00044,2025-01-16,CUS-0202,Small Business,East,Direct Sales,Accessories,Desk Lamp,8,USD,39,20,312,62.4,249.6,16,128,14.88,121.6,106.72,42.76,8,3
ORD-00045,2025-01-16,CUS-0108,Consumer,South,Retail,Furniture,Office Chair,2,USD,195,0,390,0,390,105,210,0,180,180,46.15,0,5
ORD-00046,2025-01-17,CUS-0092,Consumer,North,Online,Technology,Laptop,5,USD,899,15,4495,674.25,3820.75,610,3050,18.12,770.75,752.63,19.7,8,4
ORD-00047,2025-01-17,CUS-0150,Corporate,South,Retail,Technology,Keyboard,18,USD,65,15,1170,175.5,994.5,28,504,0,490.5,490.5,49.32,0,4
ORD-00048,2025-01-17,CUS-0134,Small Business,South,Retail,Technology,Monitor,2,USD,249,15,498,74.7,423.3,155,310,0,113.3,113.3,26.77,0,5
ORD-00049,2025-01-18,CUS-0135,Small Business,East,Direct Sales,Furniture,Office Chair,10,USD,195,20,1950,390,1560,105,1050,17.1,510,492.9,31.6,3,5
ORD-00050,2025-01-18,CUS-0177,Consumer,West,Direct Sales,Office Supplies,Paper Pack,1,USD,12,0,12,0,12,5,5,13.95,7,-6.95,-57.92,3,5
ORD-00051,2025-01-18,CUS-0029,Consumer,East,Retail,Office Supplies,Printer Ink,2,USD,49,10,98,9.8,88.2,24,48,0,40.2,40.2,45.58,0,5
ORD-00052,2025-01-19,CUS-0231,Corporate,South,Direct Sales,Furniture,Desk,15,USD,350,15,5250,787.5,4462.5,210,3150,24.92,1312.5,1287.58,28.85,7,3
ORD-00053,2025-01-19,CUS-0100,Small Business,West,Direct Sales,Furniture,Desk,10,USD,350,0,3500,0,3500,210,2100,21.07,1400,1378.93,39.4,7,5
ORD-00054,2025-01-19,CUS-0030,Small Business,West,Retail,Accessories,Backpack,2,USD,59,5,118,5.9,112.1,25,50,0,62.1,62.1,55.4,0,5
ORD-00055,2025-01-20,CUS-0184,Corporate,East,Retail,Furniture,Desk,10,USD,350,15,3500,525,2975,210,2100,0,875,875,29.41,0,5
ORD-00056,2025-01-20,CUS-0084,Corporate,East,Retail,Technology,Keyboard,8,USD,65,5,520,26,494,28,224,0,270,270,54.66,0,5
ORD-00057,2025-01-20,CUS-0096,Corporate,East,Direct Sales,Technology,Keyboard,25,USD,65,0,1625,0,1625,28,700,37.82,925,887.18,54.6,3,5
ORD-00058,2025-01-21,CUS-0247,Small Business,East,Retail,Office Supplies,Printer Ink,4,USD,49,15,196,29.4,166.6,24,96,0,70.6,70.6,42.38,0,4
ORD-00059,2025-01-21,CUS-0004,Corporate,North,Retail,Technology,Keyboard,17,USD,65,20,1105,221,884,28,476,0,408,408,46.15,0,5
ORD-00060,2025-01-22,CUS-0005,Consumer,East,Retail,Office Supplies,Notebook Set,5,USD,18,5,90,4.5,85.5,7,35,0,50.5,50.5,59.06,0,5
ORD-00061,2025-01-22,CUS-0160,Small Business,East,Online,Office Supplies,Notebook Set,3,USD,18,0,54,0,54,7,21,15.82,33,17.18,31.81,9,4
ORD-00062,2025-01-22,CUS-0089,Consumer,West,Retail,Accessories,Backpack,5,USD,59,0,295,0,295,25,125,0,170,170,57.63,0,5
ORD-00063,2025-01-22,CUS-0237,Corporate,West,Retail,Accessories,Desk Lamp,21,USD,39,0,819,0,819,16,336,0,483,483,58.97,0,5
ORD-00064,2025-01-22,CUS-0147,Consumer,West,Online,Technology,Laptop,5,USD,899,10,4495,449.5,4045.5,610,3050,18.01,995.5,977.49,24.16,5,4
ORD-00065,2025-01-23,CUS-0066,Consumer,West,Online,Office Supplies,Printer Ink,2,USD,49,0,98,0,98,24,48,9.84,50,40.16,40.98,5,4
ORD-00066,2025-01-23,CUS-0024,Small Business,East,Retail,Office Supplies,Printer Ink,11,USD,49,5,539,26.95,512.05,24,264,0,248.05,248.05,48.44,0,4
ORD-00067,2025-01-23,CUS-0180,Corporate,South,Retail,Office Supplies,Printer Ink,16,USD,49,15,784,117.6,666.4,24,384,0,282.4,282.4,42.38,0,5
ORD-00068,2025-01-24,CUS-0140,Consumer,South,Direct Sales,Office Supplies,Notebook Set,2,USD,18,10,36,3.6,32.4,7,14,9.52,18.4,8.88,27.41,5,3
ORD-00069,2025-01-24,CUS-0193,Corporate,West,Retail,Technology,Keyboard,7,USD,65,5,455,22.75,432.25,28,196,0,236.25,236.25,54.66,0,4
ORD-00070,2025-01-24,CUS-0184,Corporate,East,Direct Sales,Office Supplies,Notebook Set,10,USD,18,20,180,36,144,7,70,21.48,74,52.52,36.47,9,4
ORD-00071,2025-01-25,CUS-0029,Consumer,East,Online,Furniture,Office Chair,1,USD,195,20,195,39,156,105,105,6.58,51,44.42,28.47,7,4
ORD-00072,2025-01-25,CUS-0021,Small Business,North,Retail,Technology,Monitor,7,USD,249,5,1743,87.15,1655.85,155,1085,0,570.85,570.85,34.47,0,5
ORD-00073,2025-01-26,CUS-0075,Small Business,South,Retail,Technology,Keyboard,7,USD,65,20,455,91,364,28,196,0,168,168,46.15,0,4
ORD-00074,2025-01-26,CUS-0190,Consumer,West,Online,Technology,Monitor,2,USD,249,10,498,49.8,448.2,155,310,15.2,138.2,123,27.44,6,4
ORD-00075,2025-01-27,CUS-0099,Small Business,North,Online,Furniture,Desk,2,USD,350,20,700,140,560,210,420,11.77,140,128.23,22.9,5,3
ORD-00076,2025-01-27,CUS-0118,Small Business,South,Direct Sales,Office Supplies,Printer Ink,6,USD,49,0,294,0,294,24,144,16.33,150,133.67,45.47,7,5
ORD-00077,2025-01-28,CUS-0132,Small Business,South,Direct Sales,Office Supplies,Notebook Set,12,USD,18,0,216,0,216,7,84,22.83,132,109.17,50.54,9,3
ORD-00078,2025-01-28,CUS-0197,Small Business,North,Direct Sales,Furniture,Desk,5,USD,350,0,1750,0,1750,210,1050,10.99,700,689.01,39.37,7,5
ORD-00079,2025-01-28,CUS-0233,Small Business,South,Direct Sales,Accessories,Desk Lamp,12,USD,39,0,468,0,468,16,192,22.33,276,253.67,54.2,2,4
ORD-00080,2025-01-29,CUS-0047,Consumer,North,Direct Sales,Office Supplies,Notebook Set,5,USD,18,0,90,0,90,7,35,12.43,55,42.57,47.3,9,4
ORD-00081,2025-01-29,CUS-0154,Consumer,South,Direct Sales,Furniture,Desk,3,USD,350,20,1050,210,840,210,630,11.09,210,198.91,23.68,8,5
ORD-00082,2025-01-29,CUS-0073,Corporate,East,Retail,Accessories,Backpack,19,USD,59,10,1121,112.1,1008.9,25,475,0,533.9,533.9,52.92,0,4
ORD-00083,2025-01-30,CUS-0221,Corporate,West,Retail,Accessories,Desk Lamp,20,USD,39,5,780,39,741,16,320,0,421,421,56.82,0,5
ORD-00084,2025-01-30,CUS-0062,Consumer,East,Retail,Accessories,Backpack,3,USD,59,20,177,35.4,141.6,25,75,0,66.6,66.6,47.03,0,5
ORD-00085,2025-01-30,CUS-0033,Corporate,West,Retail,Technology,Keyboard,18,USD,65,15,1170,175.5,994.5,28,504,0,490.5,490.5,49.32,0,5
ORD-00086,2025-02-01,CUS-0012,Consumer,North,Online,Office Supplies,Notebook Set,3,USD,18,20,54,10.8,43.2,7,21,10.98,22.2,11.22,25.97,3,5
ORD-00087,2025-02-01,CUS-0053,Consumer,West,Direct Sales,Furniture,Office Chair,3,USD,195,0,585,0,585,105,315,11.62,270,258.38,44.17,4,5
ORD-00088,2025-02-01,CUS-0035,Consumer,East,Retail,Furniture,Desk,1,USD,350,15,350,52.5,297.5,210,210,0,87.5,87.5,29.41,0,5
ORD-00089,2025-02-01,CUS-0049,Small Business,West,Online,Office Supplies,Paper Pack,8,USD,12,10,96,9.6,86.4,5,40,15.66,46.4,30.74,35.58,7,3
ORD-00090,2025-02-02,CUS-0170,Corporate,East,Direct Sales,Technology,Keyboard,14,USD,65,0,910,0,910,28,392,24.54,518,493.46,54.23,5,4
ORD-00091,2025-02-03,CUS-0228,Small Business,West,Direct Sales,Technology,Laptop,9,USD,899,20,8091,1618.2,6472.8,610,5490,18.19,982.8,964.61,14.9,4,4
ORD-00092,2025-02-03,CUS-0165,Corporate,South,Direct Sales,Furniture,Desk,14,USD,350,20,4900,980,3920,210,2940,22.5,980,957.5,24.43,4,5
ORD-00093,2025-02-03,CUS-0220,Consumer,West,Retail,Technology,Monitor,5,USD,249,20,1245,249,996,155,775,0,221,221,22.19,0,4
ORD-00094,2025-02-04,CUS-0174,Corporate,East,Retail,Technology,Monitor,1,USD,249,20,249,49.8,199.2,155,155,0,44.2,44.2,22.19,0,5
ORD-00095,2025-02-04,CUS-0169,Consumer,West,Direct Sales,Office Supplies,Notebook Set,5,USD,18,0,90,0,90,7,35,10.94,55,44.06,48.96,2,4
ORD-00096,2025-02-05,CUS-0183,Consumer,West,Direct Sales,Accessories,Desk Lamp,3,USD,39,0,117,0,117,16,48,15.15,69,53.85,46.03,4,5
ORD-00097,2025-02-05,CUS-0001,Small Business,North,Retail,Technology,Keyboard,12,USD,65,0,780,0,780,28,336,0,444,444,56.92,0,5
ORD-00098,2025-02-05,CUS-0192,Corporate,West,Online,Furniture,Office Chair,3,USD,195,0,585,0,585,105,315,8.64,270,261.36,44.68,6,4
ORD-00099,2025-02-06,CUS-0011,Consumer,South,Retail,Office Supplies,Notebook Set,4,USD,18,0,72,0,72,7,28,0,44,44,61.11,0,5
ORD-00100,2025-02-06,CUS-0138,Small Business,North,Direct Sales,Accessories,Desk Lamp,4,USD,39,15,156,23.4,132.6,16,64,16.94,68.6,51.66,38.96,6,4
ORD-00101,2025-02-07,CUS-0140,Consumer,South,Retail,Technology,Monitor,4,USD,249,10,996,99.6,896.4,155,620,0,276.4,276.4,30.83,0,5
ORD-00102,2025-02-07,CUS-0235,Consumer,West,Retail,Accessories,Backpack,1,USD,59,0,59,0,59,25,25,0,34,34,57.63,0,5
ORD-00103,2025-02-07,CUS-0219,Corporate,North,Retail,Accessories,Backpack,25,USD,59,0,1475,0,1475,25,625,0,850,850,57.63,0,5
ORD-00104,2025-02-08,CUS-0046,Consumer,West,Direct Sales,Office Supplies,Paper Pack,2,USD,12,0,24,0,24,5,10,12.22,14,1.78,7.42,3,4
ORD-00105,2025-02-09,CUS-0154,Consumer,South,Online,Technology,Keyboard,5,USD,65,0,325,0,325,28,140,14.02,185,170.98,52.61,6,4
ORD-00106,2025-02-09,CUS-0047,Consumer,North,Online,Office Supplies,Notebook Set,2,USD,18,5,36,1.8,34.2,7,14,8.87,20.2,11.33,33.13,7,3
ORD-00107,2025-02-09,CUS-0242,Corporate,South,Online,Furniture,Office Chair,20,USD,195,10,3900,390,3510,105,2100,32.79,1410,1377.21,39.24,1,5
ORD-00108,2025-02-10,CUS-0145,Consumer,East,Direct Sales,Office Supplies,Paper Pack,4,USD,12,5,48,2.4,45.6,5,20,8.85,25.6,16.75,36.73,5,4
ORD-00109,2025-02-10,CUS-0049,Small Business,West,Online,Office Supplies,Notebook Set,2,USD,18,15,36,5.4,30.6,7,14,12.09,16.6,4.51,14.74,5,4
ORD-00110,2025-02-11,CUS-0012,Consumer,North,Online,Office Supplies,Printer Ink,1,USD,49,0,49,0,49,24,24,6.73,25,18.27,37.29,8,3
ORD-00111,2025-02-11,CUS-0119,Small Business,South,Direct Sales,Office Supplies,Notebook Set,3,USD,18,20,54,10.8,43.2,7,21,14.23,22.2,7.97,18.45,5,4
ORD-00112,2025-02-11,CUS-0223,Corporate,West,Retail,Accessories,Backpack,18,USD,59,15,1062,159.3,902.7,25,450,0,452.7,452.7,50.15,0,5
ORD-00113,2025-02-12,CUS-0182,Small Business,South,Online,Accessories,Desk Lamp,2,USD,39,0,78,0,78,16,32,8.31,46,37.69,48.32,9,4
ORD-00114,2025-02-12,CUS-0084,Corporate,East,Direct Sales,Office Supplies,Notebook Set,2,USD,18,0,36,0,36,7,14,10.29,22,11.71,32.53,1,4
ORD-00115,2025-02-13,CUS-0112,Corporate,West,Online,Accessories,Desk Lamp,25,USD,39,15,975,146.25,828.75,16,400,41.51,428.75,387.24,46.73,7,3
ORD-00116,2025-02-13,CUS-0190,Consumer,West,Direct Sales,Technology,Monitor,4,USD,249,0,996,0,996,155,620,13.1,376,362.9,36.44,5,5
ORD-00117,2025-02-13,CUS-0116,Consumer,North,Online,Furniture,Desk,1,USD,350,10,350,35,315,210,210,13.38,105,91.62,29.09,8,3
ORD-00118,2025-02-14,CUS-0181,Small Business,North,Direct Sales,Technology,Keyboard,2,USD,65,0,130,0,130,28,56,13.73,74,60.27,46.36,8,3
ORD-00119,2025-02-14,CUS-0038,Small Business,North,Direct Sales,Accessories,Desk Lamp,11,USD,39,20,429,85.8,343.2,16,176,20.83,167.2,146.37,42.65,7,3
ORD-00120,2025-02-15,CUS-0138,Small Business,North,Online,Technology,Monitor,1,USD,249,15,249,37.35,211.65,155,155,11.28,56.65,45.37,21.44,3,5
ORD-00121,2025-02-15,CUS-0032,Corporate,East,Direct Sales,Technology,Monitor,25,USD,249,0,6225,0,6225,155,3875,39.1,2350,2310.9,37.12,3,5
ORD-00122,2025-02-16,CUS-0094,Corporate,West,Direct Sales,Office Supplies,Paper Pack,16,USD,12,5,192,9.6,182.4,5,80,23.86,102.4,78.54,43.06,4,4
ORD-00123,2025-02-16,CUS-0120,Small Business,West,Direct Sales,Accessories,Backpack,1,USD,59,5,59,2.95,56.05,25,25,12.01,31.05,19.04,33.97,2,5
ORD-00124,2025-02-16,CUS-0214,Consumer,East,Online,Office Supplies,Notebook Set,2,USD,18,0,36,0,36,7,14,13.55,22,8.45,23.47,9,4
ORD-00125,2025-02-16,CUS-0114,Small Business,East,Direct Sales,Accessories,Backpack,3,USD,59,0,177,0,177,25,75,8.55,102,93.45,52.8,7,4
ORD-00126,2025-02-17,CUS-0207,Corporate,South,Online,Accessories,Desk Lamp,23,USD,39,0,897,0,897,16,368,38.22,529,490.78,54.71,2,5
ORD-00127,2025-02-18,CUS-0024,Small Business,East,Retail,Office Supplies,Printer Ink,4,USD,49,10,196,19.6,176.4,24,96,0,80.4,80.4,45.58,0,5
ORD-00128,2025-02-18,CUS-0160,Small Business,East,Retail,Office Supplies,Printer Ink,8,USD,49,20,392,78.4,313.6,24,192,0,121.6,121.6,38.78,0,5
ORD-00129,2025-02-19,CUS-0176,Consumer,South,Direct Sales,Furniture,Desk,3,USD,350,20,1050,210,840,210,630,12.89,210,197.11,23.47,5,3
ORD-00130,2025-02-19,CUS-0087,Consumer,North,Online,Technology,Laptop,5,USD,899,0,4495,0,4495,610,3050,12.11,1445,1432.89,31.88,2,4
ORD-00131,2025-02-19,CUS-0235,Consumer,West,Retail,Technology,Keyboard,1,USD,65,20,65,13,52,28,28,0,24,24,46.15,0,5
ORD-00132,2025-02-19,CUS-0185,Consumer,South,Direct Sales,Technology,Laptop,5,USD,899,0,4495,0,4495,610,3050,16.82,1445,1428.18,31.77,4,5
ORD-00133,2025-02-20,CUS-0244,Consumer,North,Direct Sales,Accessories,Backpack,3,USD,59,0,177,0,177,25,75,15.4,102,86.6,48.93,9,2
ORD-00134,2025-02-21,CUS-0212,Small Business,West,Retail,Accessories,Backpack,2,USD,59,0,118,0,118,25,50,0,68,68,57.63,0,4
ORD-00135,2025-02-22,CUS-0234,Consumer,East,Direct Sales,Technology,Keyboard,2,USD,65,0,130,0,130,28,56,13.77,74,60.23,46.33,4,4
ORD-00136,2025-02-22,CUS-0166,Consumer,North,Retail,Office Supplies,Printer Ink,1,USD,49,0,49,0,49,24,24,0,25,25,51.02,0,5
ORD-00137,2025-02-23,CUS-0140,Consumer,South,Online,Technology,Laptop,1,USD,899,0,899,0,899,610,610,6.31,289,282.69,31.44,1,4
ORD-00138,2025-02-23,CUS-0147,Consumer,West,Retail,Office Supplies,Printer Ink,4,USD,49,10,196,19.6,176.4,24,96,0,80.4,80.4,45.58,0,4
ORD-00139,2025-02-24,CUS-0181,Small Business,North,Online,Furniture,Office Chair,5,USD,195,5,975,48.75,926.25,105,525,13.26,401.25,387.99,41.89,3,5
ORD-00140,2025-02-25,CUS-0016,Small Business,North,Online,Accessories,Backpack,1,USD,59,20,59,11.8,47.2,25,25,13.67,22.2,8.53,18.07,8,4
ORD-00141,2025-02-25,CUS-0233,Small Business,South,Retail,Furniture,Office Chair,5,USD,195,15,975,146.25,828.75,105,525,0,303.75,303.75,36.65,0,5
ORD-00142,2025-02-25,CUS-0134,Small Business,South,Retail,Accessories,Desk Lamp,6,USD,39,10,234,23.4,210.6,16,96,0,114.6,114.6,54.42,0,5
ORD-00143,2025-02-26,CUS-0175,Small Business,North,Retail,Office Supplies,Printer Ink,4,USD,49,5,196,9.8,186.2,24,96,0,90.2,90.2,48.44,0,4
ORD-00144,2025-02-26,CUS-0036,Consumer,East,Direct Sales,Accessories,Backpack,4,USD,59,5,236,11.8,224.2,25,100,14.47,124.2,109.73,48.94,3,5
ORD-00145,2025-02-26,CUS-0033,Corporate,West,Direct Sales,Technology,Keyboard,12,USD,65,0,780,0,780,28,336,23.6,444,420.4,53.9,8,4
ORD-00146,2025-02-26,CUS-0193,Corporate,West,Direct Sales,Furniture,Desk,8,USD,350,5,2800,140,2660,210,1680,14.63,980,965.37,36.29,8,4
ORD-00147,2025-02-26,CUS-0105,Consumer,East,Retail,Office Supplies,Paper Pack,3,USD,12,20,36,7.2,28.8,5,15,0,13.8,13.8,47.92,0,5
ORD-00148,2025-02-27,CUS-0247,Small Business,East,Direct Sales,Office Supplies,Printer Ink,12,USD,49,0,588,0,588,24,288,25.25,300,274.75,46.73,2,5
ORD-00149,2025-02-27,CUS-0119,Small Business,South,Direct Sales,Accessories,Desk Lamp,8,USD,39,15,312,46.8,265.2,16,128,15.22,137.2,121.98,46,3,5
ORD-00150,2025-02-28,CUS-0214,Consumer,East,Online,Furniture,Desk,3,USD,350,15,1050,157.5,892.5,210,630,16.13,262.5,246.37,27.6,6,4
ORD-00151,2025-02-28,CUS-0178,Corporate,East,Direct Sales,Office Supplies,Printer Ink,8,USD,49,20,392,78.4,313.6,24,192,17.04,121.6,104.56,33.34,8,4
ORD-00152,2025-03-01,CUS-0026,Consumer,South,Retail,Accessories,Desk Lamp,3,USD,39,20,117,23.4,93.6,16,48,0,45.6,45.6,48.72,0,5
ORD-00153,2025-03-01,CUS-0093,Corporate,East,Retail,Furniture,Desk,1,USD,350,15,350,52.5,297.5,210,210,0,87.5,87.5,29.41,0,4
ORD-00154,2025-03-02,CUS-0120,Small Business,West,Online,Technology,Keyboard,5,USD,65,0,325,0,325,28,140,10.13,185,174.87,53.81,3,4
ORD-00155,2025-03-02,CUS-0245,Small Business,North,Retail,Accessories,Desk Lamp,9,USD,39,10,351,35.1,315.9,16,144,0,171.9,171.9,54.42,0,5
ORD-00156,2025-03-02,CUS-0231,Corporate,South,Direct Sales,Office Supplies,Notebook Set,2,USD,18,20,36,7.2,28.8,7,14,8.83,14.8,5.97,20.73,8,4
ORD-00157,2025-03-02,CUS-0092,Consumer,North,Retail,Office Supplies,Paper Pack,1,USD,12,0,12,0,12,5,5,0,7,7,58.33,0,5
ORD-00158,2025-03-03,CUS-0007,Small Business,South,Direct Sales,Office Supplies,Notebook Set,1,USD,18,5,18,0.9,17.1,7,7,11.76,10.1,-1.66,-9.71,2,5
ORD-00159,2025-03-03,CUS-0234,Consumer,East,Retail,Office Supplies,Notebook Set,1,USD,18,20,18,3.6,14.4,7,7,0,7.4,7.4,51.39,0,5
ORD-00160,2025-03-03,CUS-0119,Small Business,South,Online,Accessories,Desk Lamp,12,USD,39,20,468,93.6,374.4,16,192,25.64,182.4,156.76,41.87,8,3
ORD-00161,2025-03-03,CUS-0041,Small Business,East,Retail,Technology,Keyboard,5,USD,65,5,325,16.25,308.75,28,140,0,168.75,168.75,54.66,0,5
ORD-00162,2025-03-04,CUS-0198,Consumer,East,Direct Sales,Furniture,Desk,3,USD,350,20,1050,210,840,210,630,14.67,210,195.33,23.25,6,4
ORD-00163,2025-03-04,CUS-0226,Corporate,West,Retail,Technology,Laptop,12,USD,899,20,10788,2157.6,8630.4,610,7320,0,1310.4,1310.4,15.18,0,5
